<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVIT.US,D,20260630,000000,47.47,48.1122,47.23,48.1122,2399,0
NVIT.US,D,20260701,000000,47.4,47.6023,47.06,47.6023,3422,0
NVIT.US,D,20260702,000000,47.72,47.72,46.605,47.0008,2477,0
NVIT.US,D,20260706,000000,47.5185,47.65,47.2945,47.2945,10094,0
NVIT.US,D,20260707,000000,46.28,47.56,46.2,47.2577,8151,0
NVIT.US,D,20260708,000000,47.32,48.7396,47.31,48.7396,2883,0
NVIT.US,D,20260709,000000,48.8,48.82,48.44,48.656,1951,0
NVIT.US,D,20260710,000000,49.38,49.8,49.38,49.8,2843,0
NVIT.US,D,20260713,000000,49.79,49.79,48.885,48.99,12757,0
NVIT.US,D,20260714,000000,48.905,49.95,48.905,49.9307,6656,0
NVIT.US,D,20260715,000000,49.735,50.1292,49.735,50.1292,2228,0
NVIT.US,D,20260716,000000,49.7,49.7,49.5,49.5614,3120,0
NVIT.US,D,20260717,000000,47.985,49.6399,47.985,48.8321,1804,0
NVIT.US,D,20260720,000000,49.71,49.71,48.7417,48.8186,12924,0
NVIT.US,D,20260721,000000,49.225,49.344,48.88,49.344,12637,0
NVIT.US,D,20260722,000000,49.08,50.5,49.08,50.157,2100,0
NVIT.US,D,20260723,000000,49.64,49.9,49.34,49.68,2662,0
NVIT.US,D,20260724,000000,49.69,49.78,49.12,49.33,7149,0
NVIT.US,D,20260727,000000,48.46,48.525,47.41,47.5,19614,0
NVIT.US,D,20260728,000000,46.77,47.48,46.73,47.4,13271,0
NVIT.US,D,20260729,000000,47.26,47.26,45.9475,45.9475,5988,0
NVIT.US,D,20260730,000000,46.39,46.99,46.3,46.9602,2612,0
NVIT.US,D,20260731,000000,47.64,48.17,47.05,48.02,6020,0
NVIT.US,D,20260803,000000,47.92,49.4,47.9199,49.1684,17553,0
NVIT.US,D,20260804,000000,49.31,49.9999,49.19,49.8248,16246,0
NVIT.US,D,20260805,000000,50.7,51.285,50.7,51.05,3222,0
NVIT.US,D,20260806,000000,51.6196,51.6196,50.63,50.9034,4092,0
NVIT.US,D,20260807,000000,51.435,51.6,51.4099,51.5479,2556,0
NVIT.US,D,20260810,000000,51.5,51.5,50.6575,50.6575,13986,0
NVIT.US,D,20260811,000000,50.78,50.78,50.38,50.4248,8781,0
NVIT.US,D,20260812,000000,51.0614,51.26,50.98,51.1687,2643,0
NVIT.US,D,20260813,000000,51.4,51.5,51.289,51.3154,2013,0
NVIT.US,D,20260814,000000,51.42,51.6099,51.21,51.29,18699,0
NVIT.US,D,20260817,000000,51.41,51.45,51.1743,51.1743,26833,0
NVIT.US,D,20260818,000000,50.21,50.3,49.96,49.96,23671,0
NVIT.US,D,20260819,000000,50.01,50.19,49.82,49.82,11373,0
NVIT.US,D,20260820,000000,49.875,49.92,49.735,49.739,1165,0
NVIT.US,D,20260821,000000,49.76,49.8199,49.4352,49.4352,1741,0
NVIT.US,D,20260824,000000,49.5,49.525,48.2624,48.2624,16299,0
