<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORAC.US,D,20260701,000000,24.5388,24.54,23.3773,23.3773,2339,0
ORAC.US,D,20260702,000000,24.29,24.41,22.3235,22.3235,2719,0
ORAC.US,D,20260706,000000,23.23,23.55,23.23,23.493,914,0
ORAC.US,D,20260707,000000,23.805,23.805,22.47,22.7891,1304,0
ORAC.US,D,20260708,000000,22.38,22.4774,21.75,22.4774,1225,0
ORAC.US,D,20260709,000000,24.36,24.73,23.6,23.6082,6155,0
ORAC.US,D,20260710,000000,22.98,22.98,22.6301,22.6301,597,0
ORAC.US,D,20260713,000000,20.55,20.55,19.8384,19.8384,1892,0
ORAC.US,D,20260714,000000,19.18,19.2799,18.6976,18.6976,1542,0
ORAC.US,D,20260715,000000,19.64,20.105,19.64,19.9,3198,0
ORAC.US,D,20260716,000000,19.1,19.38,17.3,17.3,15912,0
ORAC.US,D,20260717,000000,16.99,18.22,16.99,18.0357,1424,0
ORAC.US,D,20260720,000000,18,18,16.31,16.6016,1104,0
ORAC.US,D,20260722,000000,18.37,18.37,17.69,17.7816,1612,0
ORAC.US,D,20260723,000000,17.06,17.06,16.11,16.1334,10145,0
ORAC.US,D,20260724,000000,16,16.155,14.7737,14.7737,4000,0
ORAC.US,D,20260727,000000,15.35,16.3,15.31,16.0114,6272,0
ORAC.US,D,20260728,000000,15.55,16.39,14.67,16.1167,4962,0
ORAC.US,D,20260729,000000,15.69,16.02,15.4611,15.4611,2724,0
ORAC.US,D,20260730,000000,16.48,18.0899,16.48,18.0201,7220,0
ORAC.US,D,20260731,000000,19,19,17.87,18.6289,1829,0
ORAC.US,D,20260803,000000,19.07,22.35,19.07,22.15,15158,0
ORAC.US,D,20260804,000000,22.61,23.91,22.5417,23.2693,7517,0
ORAC.US,D,20260805,000000,23.58,23.58,22.445,22.8666,6668,0
ORAC.US,D,20260806,000000,21.18,22.57,21.18,22.5323,1353,0
ORAC.US,D,20260807,000000,22.81,23.4669,22.81,23.4669,1209,0
ORAC.US,D,20260810,000000,24.06,25.0218,24.06,24.98,3167,0
ORAC.US,D,20260812,000000,24.5804,26.05,24.1,25.3534,3015,0
ORAC.US,D,20260813,000000,26.16,27.245,25.84,26.4524,968,0
ORAC.US,D,20260814,000000,25.78,25.78,24.22,24.35,2489,0
ORAC.US,D,20260817,000000,23.33,23.73,23.317,23.317,1552,0
ORAC.US,D,20260818,000000,22.28,22.28,21.9413,21.9413,1260,0
ORAC.US,D,20260819,000000,21.05,22.91,20.565,22.3578,2727,0
