<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLGI.US,D,20251211,000000,25.325,25.435,25.2583,25.2583,12120,0
PLGI.US,D,20251212,000000,25.16,25.17,25.1153,25.1153,10100,0
PLGI.US,D,20251215,000000,25.04,25.0775,25.0196,25.0775,22888,0
PLGI.US,D,20251216,000000,25.129,25.129,24.98,25.0233,3524,0
PLGI.US,D,20251217,000000,25.18,25.205,24.87,24.88,51986,0
PLGI.US,D,20251218,000000,25.02,25.04,24.91,24.9239,696896,0
PLGI.US,D,20251219,000000,25.1,25.2199,25.08,25.115,334455,0
PLGI.US,D,20251222,000000,25.1704,25.2999,25.13,25.2213,343867,0
PLGI.US,D,20251223,000000,25.1001,25.2004,25.1001,25.2004,5168,0
PLGI.US,D,20251224,000000,25.29,25.315,25.29,25.3002,10157,0
PLGI.US,D,20251226,000000,25.23,25.29,25.23,25.2877,7906,0
PLGI.US,D,20251229,000000,25.28,25.33,25.19,25.33,235777,0
PLGI.US,D,20251230,000000,25.27,25.27,25.2001,25.2285,1413,0
PLGI.US,D,20251231,000000,25.16,25.16,25.0946,25.0946,20818,0
PLGI.US,D,20260102,000000,25.17,25.1997,25.17,25.1997,391,0
PLGI.US,D,20260105,000000,25.488,25.488,25.4551,25.4551,1646,0
PLGI.US,D,20260106,000000,25.48,25.56,25.48,25.545,67229,0
PLGI.US,D,20260107,000000,25.41,25.462,25.35,25.352,28380,0
PLGI.US,D,20260108,000000,25.42,25.604,25.42,25.5516,41263,0
PLGI.US,D,20260109,000000,25.63,25.64,25.59,25.6336,6182,0
PLGI.US,D,20260112,000000,25.63,25.63,25.5938,25.5938,1324,0
PLGI.US,D,20260113,000000,25.59,25.59,25.39,25.4488,14679,0
PLGI.US,D,20260114,000000,25.54,25.57,25.41,25.57,34131,0
PLGI.US,D,20260115,000000,25.56,26.01,25.55,25.5802,31847,0
PLGI.US,D,20260116,000000,25.35,25.4,25.31,25.3389,28700,0
PLGI.US,D,20260120,000000,25.12,25.1499,24.93,24.93,222701,0
PLGI.US,D,20260121,000000,25.32,25.5,25.16,25.392,30559,0
PLGI.US,D,20260122,000000,25.61,25.61,25.4501,25.4698,25383,0
PLGI.US,D,20260123,000000,25.44,25.47,25.3828,25.3828,9145,0
PLGI.US,D,20260126,000000,25.59,25.59,25.475,25.5123,12302,0
PLGI.US,D,20260127,000000,25.52,25.52,25.38,25.4192,12036,0
PLGI.US,D,20260128,000000,25.35,25.37,25.19,25.2461,8036,0
PLGI.US,D,20260129,000000,25.2,25.2526,25.13,25.2526,132548,0
PLGI.US,D,20260130,000000,25.22,25.26,25.06,25.258,7537,0
PLGI.US,D,20260202,000000,25.39,25.56,25.3554,25.51,7515,0
PLGI.US,D,20260203,000000,25.3,25.3,24.95,24.995,13810,0
PLGI.US,D,20260204,000000,24.9,25.3,24.9,25.2694,22553,0
PLGI.US,D,20260205,000000,24.74,24.78,24.56,24.5944,11735,0
PLGI.US,D,20260206,000000,25.105,25.2318,25.1,25.2318,7476,0
PLGI.US,D,20260209,000000,25.155,25.2258,25.0908,25.2258,1751,0
PLGI.US,D,20260210,000000,25.3001,25.5,25.3001,25.411,1817,0
PLGI.US,D,20260211,000000,25.21,25.21,25.0942,25.0942,7479,0
PLGI.US,D,20260212,000000,25.3799,25.3799,24.648,24.8508,40189,0
PLGI.US,D,20260213,000000,24.7,24.94,24.69,24.8393,6371,0
PLGI.US,D,20260217,000000,24.58,24.8,24.5,24.78,19426,0
PLGI.US,D,20260218,000000,25.04,25.11,24.9892,25.1,5048,0
PLGI.US,D,20260219,000000,25,25.0014,24.9023,25.0014,1296,0
PLGI.US,D,20260220,000000,25.06,25.2067,25.06,25.11,1545,0
PLGI.US,D,20260223,000000,25,25,24.7427,24.7427,1416,0
PLGI.US,D,20260224,000000,25.1299,25.1299,24.94,24.9429,1700,0
PLGI.US,D,20260225,000000,24.69,24.9462,24.69,24.9462,1669,0
PLGI.US,D,20260226,000000,25.2,25.23,25.03,25.1285,1183,0
PLGI.US,D,20260227,000000,25.15,25.15,25.1209,25.1234,458,0
PLGI.US,D,20260302,000000,25.3,25.34,25.1175,25.1175,2226,0
PLGI.US,D,20260303,000000,26.03,26.03,25.1,25.1432,11702,0
PLGI.US,D,20260304,000000,24.8825,25.53,24.8825,25.1604,476,0
PLGI.US,D,20260305,000000,25.3377,25.52,24.71,25.0625,925,0
PLGI.US,D,20260306,000000,25.09,25.09,24.7412,24.925,1828,0
PLGI.US,D,20260309,000000,24.6,25.0305,24.5001,25.0305,1443,0
PLGI.US,D,20260310,000000,25.41,25.41,24.25,24.7757,22634,0
PLGI.US,D,20260311,000000,24.5101,24.6306,24.51,24.6306,778,0
PLGI.US,D,20260312,000000,24.99,24.99,24.2802,24.2802,6555,0
PLGI.US,D,20260313,000000,24.6,24.6,24.2935,24.2935,100,0
PLGI.US,D,20260316,000000,24.32,24.66,24.32,24.4539,3038,0
PLGI.US,D,20260319,000000,24.53,24.53,24.3742,24.3742,104,0
PLGI.US,D,20260320,000000,24.2,24.2,24.06,24.1884,1286,0
PLGI.US,D,20260323,000000,24.545,24.56,24.4295,24.49,3715,0
PLGI.US,D,20260324,000000,24.07,24.4,24.07,24.1979,8297,0
PLGI.US,D,20260326,000000,24.47,24.47,24.102,24.102,5401,0
PLGI.US,D,20260327,000000,23.98,23.98,23.7945,23.7945,511,0
PLGI.US,D,20260331,000000,23.8,24.2019,23.8,24.2019,4014,0
PLGI.US,D,20260402,000000,24.26,24.26,24.2227,24.2227,2949,0
PLGI.US,D,20260406,000000,24.295,24.45,24.24,24.43,4779,0
PLGI.US,D,20260407,000000,24.19,24.2703,24.18,24.2703,3964,0
PLGI.US,D,20260408,000000,24.76,25.1,24.59,24.6805,19980,0
PLGI.US,D,20260409,000000,25.02,25.02,24.22,24.6353,10426,0
PLGI.US,D,20260410,000000,24.37,24.5,24.35,24.4363,4591,0
PLGI.US,D,20260413,000000,24.43,24.6293,24.43,24.6293,1982,0
PLGI.US,D,20260414,000000,24.72,24.77,24.72,24.757,2856,0
PLGI.US,D,20260415,000000,24.91,24.9613,24.86,24.9613,501,0
PLGI.US,D,20260416,000000,24.98,25.08,24.9263,24.9263,10417,0
PLGI.US,D,20260417,000000,24.94,25.3999,24.92,25.2404,52855,0
PLGI.US,D,20260420,000000,25.2,25.36,25.2,25.3052,12381,0
PLGI.US,D,20260421,000000,25.36,25.36,25.1195,25.1195,1023,0
PLGI.US,D,20260422,000000,24.92,25.095,24.69,25.0598,16148,0
PLGI.US,D,20260424,000000,24.87,25.06,24.87,24.9596,21700,0
PLGI.US,D,20260427,000000,24.8,25.2499,24.8,24.95,29051,0
PLGI.US,D,20260428,000000,25.21,25.21,24.73,24.9073,61043,0
PLGI.US,D,20260429,000000,24.885,24.885,24.8808,24.8808,265,0
PLGI.US,D,20260501,000000,24.94,25.33,24.94,25.1506,12203,0
PLGI.US,D,20260504,000000,25.12,25.28,25.0687,25.0687,4650,0
PLGI.US,D,20260505,000000,25.245,25.26,25.12,25.1533,716,0
PLGI.US,D,20260506,000000,25.1751,25.2755,25.15,25.2755,541,0
PLGI.US,D,20260507,000000,25.36,25.44,25.301,25.301,770,0
PLGI.US,D,20260511,000000,24.8985,24.94,24.8282,24.8282,514,0
PLGI.US,D,20260512,000000,24.81,24.81,24.63,24.7228,6580,0
PLGI.US,D,20260513,000000,24.46,24.48,24.31,24.31,9724,0
PLGI.US,D,20260515,000000,24.44,24.44,24.2783,24.2783,234,0
PLGI.US,D,20260518,000000,24.42,24.42,24.39,24.39,4504,0
PLGI.US,D,20260519,000000,24.51,24.51,24.4098,24.4098,1869,0
PLGI.US,D,20260520,000000,24.54,24.5881,24.54,24.5881,2779,0
PLGI.US,D,20260521,000000,24.4,24.7071,24.4,24.7071,682,0
PLGI.US,D,20260522,000000,24.63,24.82,24.61,24.7137,3610,0
PLGI.US,D,20260526,000000,24.68,24.81,24.68,24.7437,242232,0
PLGI.US,D,20260527,000000,24.74,24.7717,24.74,24.7717,512,0
PLGI.US,D,20260529,000000,24.95,24.95,24.9475,24.9475,499,0
PLGI.US,D,20260601,000000,25.02,25.0693,24.95,25.0693,28381,0
PLGI.US,D,20260602,000000,24.935,24.935,24.84,24.9003,899,0
PLGI.US,D,20260603,000000,24.65,24.72,24.63,24.6826,10019,0
PLGI.US,D,20260604,000000,24.76,24.77,24.7387,24.7387,804,0
PLGI.US,D,20260605,000000,24.625,24.7099,24.501,24.587,6073,0
PLGI.US,D,20260610,000000,24.6,24.665,24.4112,24.4945,12436,0
PLGI.US,D,20260611,000000,24.33,24.645,24.33,24.6166,471,0
PLGI.US,D,20260612,000000,24.71,24.71,24.61,24.7005,431,0
PLGI.US,D,20260615,000000,24.85,24.85,24.8143,24.8143,124,0
PLGI.US,D,20260616,000000,24.95,24.95,24.8,24.8216,894,0
PLGI.US,D,20260618,000000,24.3,24.3541,24.3,24.3541,116,0
PLGI.US,D,20260622,000000,24.235,24.235,24.13,24.1854,654,0
PLGI.US,D,20260623,000000,24.3,24.34,24.2555,24.2555,19447,0
