<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLUN-U.US,D,20260714,000000,10.12,10.12,10.12,10.12,4400,0
PLUN-U.US,D,20260715,000000,10.12,10.12,10.12,10.12,9981,0
PLUN-U.US,D,20260716,000000,10.12,10.12,10.12,10.12,807,0
PLUN-U.US,D,20260717,000000,10.12,10.12,10.12,10.12,303,0
PLUN-U.US,D,20260720,000000,10.12,10.12,10.12,10.12,660,0
PLUN-U.US,D,20260721,000000,10.12,10.12,10.12,10.12,278,0
PLUN-U.US,D,20260724,000000,10.12,10.12,10.12,10.12,353,0
PLUN-U.US,D,20260728,000000,10.13,10.13,10.13,10.13,3123,0
PLUN-U.US,D,20260729,000000,10.13,10.2,10.1,10.1,3033,0
PLUN-U.US,D,20260803,000000,10.1,10.1,10.1,10.1,1139,0
PLUN-U.US,D,20260817,000000,10.17,10.17,10.16,10.16,1010,0
PLUN-U.US,D,20260821,000000,10.16,10.16,10.1562,10.1562,1110,0
