<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PONX.US,D,20260701,000000,15.9,18.1,15.85,17.65,11757.6,0
PONX.US,D,20260702,000000,17.2,17.65,15.11,15.35,13481.2,0
PONX.US,D,20260706,000000,15.65,16.2,15.315,16.1245,8517.4,0
PONX.US,D,20260707,000000,15.4,15.7,14.2,14.2,28563.600000000002,0
PONX.US,D,20260708,000000,14.5,15.9995,14.5,15.15,13384.2,0
PONX.US,D,20260709,000000,14.75,15.3335,14.2,14.9,4317.2,0
PONX.US,D,20260710,000000,15.45,15.475,14.15,14.15,8183.200000000001,0
PONX.US,D,20260713,000000,13.75,14.682,13.25,14.682,12511.6,0
PONX.US,D,20260714,000000,15.45,15.85,15.225,15.8,17954.4,0
PONX.US,D,20260715,000000,17,17.05,16.3,16.7,41619.4,0
PONX.US,D,20260716,000000,16.366,16.7,15.8,15.85,11511.400000000001,0
PONX.US,D,20260717,000000,13.95,14.704,13.7,14.25,5777.6,0
PONX.US,D,20260720,000000,15.15,15.15,14.25,14.55,7055.200000000001,0
PONX.US,D,20260721,000000,15.91,15.975,15.34,15.34,24750,0
PONX.US,D,20260722,000000,15.215,15.65,15.09,15.12,6090,0
PONX.US,D,20260723,000000,15.98,17.53,15.98,17.12,15032,0
PONX.US,D,20260724,000000,16.61,17.6,16.1349,16.43,2357,0
PONX.US,D,20260727,000000,17.71,17.98,16.93,17.4,9187,0
PONX.US,D,20260728,000000,17.35,18.47,16.74,18.46,19137,0
PONX.US,D,20260729,000000,18.81,20.4913,18.4286,18.64,5493,0
PONX.US,D,20260730,000000,18.7,20.35,18.45,20.28,9047,0
PONX.US,D,20260731,000000,20.17,20.17,19.0071,19.7,6701,0
PONX.US,D,20260803,000000,19.43,20.83,19.18,20.625,5386,0
PONX.US,D,20260804,000000,19.77,20.6001,19.6,20.45,4668,0
PONX.US,D,20260805,000000,20.11,20.11,19.387,19.387,1296,0
PONX.US,D,20260806,000000,18.36,19.3,18.18,19.2195,4387,0
PONX.US,D,20260807,000000,19.9,21,19.9,21,5312,0
PONX.US,D,20260810,000000,21.51,22.73,21.51,22.65,6017,0
PONX.US,D,20260811,000000,22.87,23.095,22.41,22.5837,10825,0
PONX.US,D,20260812,000000,21.9799,22.0416,20.55,21.025,3490,0
PONX.US,D,20260813,000000,21.23,21.89,20.55,21.8824,4044,0
PONX.US,D,20260814,000000,22.31,22.31,20.805,20.8448,759,0
PONX.US,D,20260817,000000,20.81,20.81,19.48,19.9,12383,0
PONX.US,D,20260818,000000,17,20.52,16.645,19.98,16253,0
PONX.US,D,20260819,000000,18.11,19.74,18,19.19,4877,0
PONX.US,D,20260820,000000,20.11,20.11,18.13,18.8354,3771,0
PONX.US,D,20260821,000000,20,21.46,19.0801,21.25,9382,0
PONX.US,D,20260824,000000,19.08,19.08,16.84,17.5,14405,0
