<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QBKV.US,D,20260406,000000,25.28,25.3371,25.27,25.3371,12512,0
QBKV.US,D,20260407,000000,25.15,25.3311,25.15,25.3311,1537,0
QBKV.US,D,20260408,000000,25.84,25.84,25.79,25.805,7500,0
QBKV.US,D,20260409,000000,25.78,25.96,25.78,25.9501,5205,0
QBKV.US,D,20260414,000000,26.27,26.34,26.27,26.3202,2285,0
QBKV.US,D,20260415,000000,26.33,26.3499,26.325,26.325,1718,0
QBKV.US,D,20260416,000000,26.34,26.365,26.34,26.365,1823,0
QBKV.US,D,20260420,000000,26.57,26.6158,26.57,26.6158,310,0
QBKV.US,D,20260430,000000,26.71,26.7308,26.71,26.7308,210,0
QBKV.US,D,20260504,000000,26.73,26.73,26.73,26.73,2810,0
QBKV.US,D,20260505,000000,26.825,26.8623,26.825,26.8623,400,0
QBKV.US,D,20260507,000000,26.915,26.915,26.8949,26.8949,250,0
QBKV.US,D,20260515,000000,26.885,26.885,26.8339,26.8339,200,0
QBKV.US,D,20260518,000000,26.83,26.83,26.7799,26.7799,6459,0
QBKV.US,D,20260602,000000,27.3,27.305,27.3,27.305,954,0
QBKV.US,D,20260610,000000,27.165,27.165,27.1116,27.1116,231,0
QBKV.US,D,20260618,000000,27.489,27.49,27.475,27.475,6200,0
QBKV.US,D,20260622,000000,27.48,27.51,27.48,27.51,5000,0
QBKV.US,D,20260624,000000,27.48,27.53,27.48,27.53,5000,0
QBKV.US,D,20260625,000000,27.525,27.525,27.525,27.525,888,0
QBKV.US,D,20260626,000000,27.57,27.57,27.545,27.545,726,0
QBKV.US,D,20260630,000000,27.555,27.555,27.555,27.555,202,0
QBKV.US,D,20260701,000000,27.6,27.69,27.53,27.53,1318,0
QBKV.US,D,20260702,000000,27.58,27.58,27.29,27.3648,993,0
QBKV.US,D,20260706,000000,27.54,27.5799,27.525,27.525,25198,0
QBKV.US,D,20260707,000000,27.46,27.46,27.35,27.3513,9327,0
QBKV.US,D,20260708,000000,27.2,27.2,27.08,27.197,453,0
QBKV.US,D,20260709,000000,27.43,27.43,27.42,27.4226,7104,0
QBKV.US,D,20260710,000000,27.45,27.45,27.29,27.39,20694,0
QBKV.US,D,20260715,000000,27.37,27.4499,27.335,27.3833,11879,0
QBKV.US,D,20260716,000000,27.49,27.5,27.3785,27.3785,1507,0
QBKV.US,D,20260717,000000,27.18,27.33,27.18,27.2921,2940,0
QBKV.US,D,20260721,000000,27.305,27.4604,27.305,27.4604,1687,0
QBKV.US,D,20260722,000000,27.41,27.42,27.2925,27.2925,4322,0
QBKV.US,D,20260723,000000,27.185,27.21,27.1564,27.1564,1604,0
QBKV.US,D,20260724,000000,27.14,27.16,27.129,27.129,856,0
QBKV.US,D,20260729,000000,27.12,27.12,26.962,26.962,3624,0
QBKV.US,D,20260730,000000,27.1,27.2433,27.1,27.2433,1225,0
QBKV.US,D,20260731,000000,27.15,27.21,27.08,27.1653,11541,0
QBKV.US,D,20260804,000000,27.7,27.84,27.605,27.7964,23217,0
QBKV.US,D,20260806,000000,27.68,27.68,27.6,27.6,1423,0
QBKV.US,D,20260807,000000,27.77,27.808,27.77,27.808,810,0
QBKV.US,D,20260810,000000,27.7,27.73,27.7,27.7008,1801,0
QBKV.US,D,20260811,000000,27.8399,27.8399,27.77,27.785,735,0
QBKV.US,D,20260812,000000,27.89,27.9,27.89,27.8966,1040,0
QBKV.US,D,20260813,000000,27.955,27.96,27.9453,27.9453,865,0
QBKV.US,D,20260818,000000,27.84,27.84,27.71,27.755,1537,0
QBKV.US,D,20260819,000000,27.81,27.8243,27.8,27.8243,778,0
QBKV.US,D,20260820,000000,27.67,27.67,27.54,27.565,23090,0
QBKV.US,D,20260821,000000,27.66,27.7348,27.66,27.7348,3058,0
QBKV.US,D,20260824,000000,27.65,27.65,27.6005,27.6005,108,0
