<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REX.US,D,20050225,000000,2.36666,2.4,2.33334,2.35334,137400,0
REX.US,D,20050228,000000,2.37,2.40334,2.35166,2.35166,201000,0
REX.US,D,20050301,000000,2.35166,2.40334,2.35,2.355,169200,0
REX.US,D,20050302,000000,2.35833,2.4,2.35833,2.37666,56400,0
REX.US,D,20050303,000000,2.385,2.39167,2.31334,2.35,488400,0
REX.US,D,20050304,000000,2.36666,2.37666,2.34834,2.35,124200,0
REX.US,D,20050307,000000,2.33334,2.33833,2.3,2.31666,304200,0
REX.US,D,20050308,000000,2.31666,2.37,2.31666,2.35334,186600,0
REX.US,D,20050309,000000,2.35166,2.35166,2.33,2.34166,156000,0
REX.US,D,20050310,000000,2.33833,2.34834,2.33334,2.335,193800,0
REX.US,D,20050311,000000,2.33334,2.35166,2.315,2.32834,130200,0
REX.US,D,20050314,000000,2.33166,2.33166,2.315,2.31666,178200,0
REX.US,D,20050315,000000,2.31666,2.34666,2.28834,2.30334,100200,0
REX.US,D,20050316,000000,2.3,2.30166,2.22334,2.23166,135600,0
REX.US,D,20050317,000000,2.23,2.23,2.17834,2.18834,75000,0
REX.US,D,20050318,000000,2.19,2.20666,2.16334,2.165,167400,0
REX.US,D,20050321,000000,2.16334,2.175,2.15,2.15,63000,0
REX.US,D,20050322,000000,2.15,2.15666,2.1,2.11166,122400,0
REX.US,D,20050323,000000,2.11166,2.125,2.11166,2.12,136800,0
REX.US,D,20050324,000000,2.11666,2.135,2.11,2.12834,246600,0
REX.US,D,20050328,000000,2.12666,2.15,2.11834,2.14167,220800,0
REX.US,D,20050329,000000,2.13334,2.13666,2.11666,2.12666,114000,0
REX.US,D,20050330,000000,2.13334,2.2,2.13,2.2,161400,0
REX.US,D,20050331,000000,2.24166,2.40666,2.24166,2.35,379800,0
REX.US,D,20050401,000000,2.35,2.38834,2.31666,2.33334,251400,0
