<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RYZ.US,D,20140808,000000,9.25605,9.38164,8.95153,9.21081,7454507,0
RYZ.US,D,20140811,000000,9.33635,9.5154,9.21993,9.27409,610273,0
RYZ.US,D,20140812,000000,9.30114,9.34558,9.06898,9.29215,283735,0
RYZ.US,D,20140813,000000,9.26503,9.3275,9.19278,9.29215,150006,0
RYZ.US,D,20140814,000000,9.23798,9.29215,9.17561,9.25605,137404,0
RYZ.US,D,20140815,000000,9.25605,9.30114,9.15753,9.25605,115385,0
RYZ.US,D,20140818,000000,9.30114,9.34558,9.21993,9.23798,136359,0
RYZ.US,D,20140819,000000,9.17561,9.21081,9.00573,9.21081,145703,0
RYZ.US,D,20140820,000000,9.13135,9.36356,9.11329,9.3275,85120.4,0
RYZ.US,D,20140821,000000,9.30946,9.33635,9.25605,9.30114,69659.2,0
RYZ.US,D,20140822,000000,9.08616,9.30946,9.07707,9.30114,74050.8,0
RYZ.US,D,20140825,000000,9.36356,9.61383,9.21081,9.46112,217330,0
RYZ.US,D,20140826,000000,9.46112,9.47009,9.3275,9.39963,120467,0
RYZ.US,D,20140827,000000,9.41773,9.65909,9.28308,9.59576,127639,0
RYZ.US,D,20140828,000000,9.5063,9.91836,9.45294,9.63199,255744,0
RYZ.US,D,20140829,000000,9.65909,9.82797,9.65909,9.79179,58615.1,0
RYZ.US,D,20140902,000000,9.68593,9.68593,9.33635,9.52443,80717.8,0
RYZ.US,D,20140903,000000,9.49735,9.58673,9.43585,9.4882,115898,0
RYZ.US,D,20140904,000000,9.28308,9.61383,9.17561,9.44492,124692,0
RYZ.US,D,20140905,000000,9.47009,9.58673,9.30946,9.39963,94681.5,0
RYZ.US,D,20140908,000000,9.47009,9.77451,9.21081,9.63199,172922,0
RYZ.US,D,20140909,000000,9.49735,9.8732,9.49735,9.77451,379836,0
RYZ.US,D,20140910,000000,9.78281,10.5435,9.62286,10.2137,471775,0
RYZ.US,D,20140911,000000,10.0873,10.3737,10.0249,10.231,259281,0
RYZ.US,D,20140912,000000,10.0079,10.4459,9.9273,10.4099,181498,0
RYZ.US,D,20140915,000000,10.3383,10.6428,9.89121,10.4188,280644,0
RYZ.US,D,20140916,000000,10.3648,10.5073,10.1143,10.3827,543904,0
RYZ.US,D,20140917,000000,10.7758,11.608,10.625,11.0622,558766,0
RYZ.US,D,20140918,000000,11.4029,12.0019,11.1796,11.8141,415276,0
RYZ.US,D,20140919,000000,12.0019,12.4573,11.6702,11.9749,940168,0
RYZ.US,D,20140922,000000,12.0108,12.2431,11.5627,12.1449,804138,0
RYZ.US,D,20140923,000000,12.0644,12.7709,11.9115,12.5387,431547,0
RYZ.US,D,20140924,000000,12.5647,12.7355,11.9929,12.3506,172446,0
RYZ.US,D,20140925,000000,12.2703,12.4221,11.8321,11.8945,279275,0
RYZ.US,D,20140926,000000,11.8764,12.3145,11.8764,12.207,226223,0
RYZ.US,D,20140929,000000,12.2161,12.3055,12.0732,12.207,161444,0
RYZ.US,D,20140930,000000,12.1355,12.2967,11.2763,11.4473,943998,0
RYZ.US,D,20141001,000000,11.5013,11.5013,10.8753,11.1525,321754,0
RYZ.US,D,20141002,000000,11.1617,11.6625,11.0622,11.608,188133,0
RYZ.US,D,20141003,000000,11.7246,12.1275,11.5807,11.7065,270431,0
RYZ.US,D,20141006,000000,11.7607,12.0644,11.7155,11.8141,211492,0
RYZ.US,D,20141007,000000,11.653,11.7869,11.3578,11.5364,207680,0
RYZ.US,D,20141008,000000,11.4834,11.4834,10.5798,11.2854,455057,0
RYZ.US,D,20141009,000000,11.2512,11.5274,10.2844,10.2933,283655,0
RYZ.US,D,20141010,000000,10.3023,10.7054,9.75656,9.91836,257651,0
RYZ.US,D,20141013,000000,9.96362,10.2399,9.49735,9.58673,222010,0
RYZ.US,D,20141014,000000,9.60479,9.98961,9.53338,9.62286,244016,0
RYZ.US,D,20141015,000000,9.45294,9.80982,9.39065,9.78281,187686,0
RYZ.US,D,20141016,000000,9.60479,9.83695,9.37255,9.65016,155058,0
RYZ.US,D,20141017,000000,9.80982,10.5889,9.72117,10.5346,138275,0
RYZ.US,D,20141020,000000,10.5255,10.812,10.3203,10.803,136776,0
