<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SBS.US,D,20050225,000000,0.384276,0.385526,0.378924,0.380194,6297531.9767298745,0
SBS.US,D,20050228,000000,0.382754,0.386566,0.379944,0.385526,3638309.0685112495,0
SBS.US,D,20050301,000000,0.385526,0.388336,0.379444,0.385526,3802795.1727674995,0
SBS.US,D,20050302,000000,0.383024,0.393224,0.377904,0.382254,5381089.53839625,0
SBS.US,D,20050303,000000,0.380966,0.386566,0.367186,0.376096,5369351.56288125,0
SBS.US,D,20050304,000000,0.378636,0.382754,0.377154,0.381754,4586063.071354625,0
SBS.US,D,20050307,000000,0.384562,0.391954,0.383524,0.384276,3485545.4950653743,0
SBS.US,D,20050308,000000,0.387374,0.389394,0.375384,0.383236,8322281.270718625,0
SBS.US,D,20050309,000000,0.376884,0.376884,0.360528,0.366646,5118689.155052375,0
SBS.US,D,20050310,000000,0.364124,0.364124,0.349808,0.361798,4907220.259326874,0
SBS.US,D,20050311,000000,0.366414,0.366414,0.352618,0.357218,3806712.9795073746,0
SBS.US,D,20050314,000000,0.359776,0.359776,0.344478,0.353888,5326260.8369775005,0
SBS.US,D,20050315,000000,0.356466,0.357218,0.343418,0.348536,2381146.1496803747,0
SBS.US,D,20050316,000000,0.347286,0.361296,0.347286,0.353156,9089898.535285749,0
SBS.US,D,20050317,000000,0.349058,0.358776,0.342668,0.354908,7574222.150441624,0
SBS.US,D,20050318,000000,0.354908,0.354908,0.344748,0.344748,3881094.6769813746,0
SBS.US,D,20050321,000000,0.347286,0.348536,0.338318,0.343956,2259730.178388375,0
SBS.US,D,20050322,000000,0.345708,0.345978,0.32377,0.32527,9430619.015782999,0
SBS.US,D,20050323,000000,0.32427,0.32527,0.308682,0.320192,15273819.264794124,0
SBS.US,D,20050324,000000,0.32273,0.325828,0.315592,0.315592,3101739.4368992494,0
SBS.US,D,20050328,000000,0.307702,0.31584,0.293652,0.307702,24461621.782697745,0
SBS.US,D,20050329,000000,0.30693,0.314052,0.297482,0.299522,7836648.274959874,0
SBS.US,D,20050330,000000,0.298752,0.31178,0.298752,0.31051,14525816.775100749,0
SBS.US,D,20050331,000000,0.31482,0.31994,0.31051,0.314302,4636968.817798625,0
SBS.US,D,20050401,000000,0.316862,0.32887,0.314302,0.316862,7468497.999048624,0
SBS.US,D,20050404,000000,0.31253,0.31384,0.308952,0.312262,5326260.8369775005,0
SBS.US,D,20050405,000000,0.309702,0.31384,0.306412,0.308952,4123936.9160351246,0
SBS.US,D,20050406,000000,0.30949,0.3281,0.30949,0.312012,7625143.341590249,0
SBS.US,D,20050407,000000,0.314572,0.32302,0.31305,0.32123,4629138.352553749,0
SBS.US,D,20050408,000000,0.32377,0.32377,0.31536,0.31917,7343189.962191124,0
SBS.US,D,20050411,000000,0.316862,0.32402,0.3072,0.31384,11200808.6881425,0
SBS.US,D,20050412,000000,0.31482,0.32273,0.31051,0.31967,3407240.842616624,0
SBS.US,D,20050413,000000,0.328368,0.33476,0.32427,0.3281,5428082.626335249,0
SBS.US,D,20050414,000000,0.326812,0.3276,0.307702,0.31051,5792309.947271749,0
SBS.US,D,20050415,000000,0.30793,0.31151,0.299252,0.30133,7088614.895857248,0
SBS.US,D,20050418,000000,0.298752,0.302082,0.294172,0.300252,4687900.305416999,0
SBS.US,D,20050419,000000,0.31024,0.32042,0.303832,0.32042,4828889.8657037495,0
SBS.US,D,20050420,000000,0.32042,0.32556,0.315592,0.32402,6779242.017513875,0
SBS.US,D,20050421,000000,0.33016,0.33016,0.32402,0.32964,3238821.486915875,0
SBS.US,D,20050422,000000,0.32708,0.32708,0.31613,0.31942,1938624.4727648748,0
SBS.US,D,20050425,000000,0.316862,0.32427,0.316862,0.32225,2772808.41426575,0
SBS.US,D,20050426,000000,0.31967,0.330678,0.31967,0.32787,4147428.31176975,0
SBS.US,D,20050427,000000,0.326812,0.340608,0.326812,0.335258,4593898.684834374,0
SBS.US,D,20050428,000000,0.337838,0.337838,0.328368,0.329408,2952924.5596025,0
