<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCE_M.US,D,20231204,000000,25.83,25.93,25.75,25.83,499261,0
SCE_M.US,D,20231205,000000,25.85,25.9,25.81,25.9,209755,0
SCE_M.US,D,20231206,000000,25.91,26.19,25.89,25.97,376954,0
SCE_M.US,D,20231207,000000,25.95,26.09,25.9,26.05,324037,0
SCE_M.US,D,20231208,000000,25.95,26.03,25.92,25.98,221917,0
SCE_M.US,D,20231211,000000,25.97,25.99,25.91,25.99,414760,0
SCE_M.US,D,20231212,000000,26.04,26.06,25.96,26.06,271137,0
SCE_M.US,D,20231213,000000,26.09,26.2,26.03,26.15,209991,0
SCE_M.US,D,20231214,000000,26.26,26.4,26.2,26.28,212523,0
SCE_M.US,D,20231215,000000,26.33,26.3399,26.2,26.22,328241,0
SCE_M.US,D,20231218,000000,26.23,26.295,26.2,26.26,648403,0
SCE_M.US,D,20231219,000000,26.25,26.28,26.21,26.25,511641,0
SCE_M.US,D,20231220,000000,26.18,26.3,26.18,26.25,489381,0
SCE_M.US,D,20231221,000000,26.3,26.38,26.24,26.27,521418,0
SCE_M.US,D,20231222,000000,26.3,26.35,26.1,26.22,70209,0
SCE_M.US,D,20231226,000000,26.22,26.26,26.175,26.23,36029,0
SCE_M.US,D,20231227,000000,26.23,26.32,26.1857,26.25,209950,0
SCE_M.US,D,20231228,000000,26.29,26.29,26,26.06,394214,0
SCE_M.US,D,20231229,000000,26.08,26.37,26.02,26.08,3500062,0
SCE_M.US,D,20240102,000000,26.05,26.15,26.03,26.08,171753,0
SCE_M.US,D,20240103,000000,26.07,26.2,26.01,26.08,343322,0
SCE_M.US,D,20240104,000000,26.06,26.14,26.05,26.08,189291,0
SCE_M.US,D,20240105,000000,26.08,26.2,26.02,26.04,139111,0
SCE_M.US,D,20240108,000000,26.07,26.1099,26.01,26.025,139446,0
SCE_M.US,D,20240109,000000,26.04,26.08,26.01,26.04,234126,0
SCE_M.US,D,20240110,000000,26.07,26.08,26.03,26.04,185448,0
SCE_M.US,D,20240111,000000,26.04,26.05,25.99,26.04,64215,0
SCE_M.US,D,20240112,000000,26.05,26.085,26.03,26.04,31442,0
SCE_M.US,D,20240116,000000,26.04,26.04,25.75,25.98,112118,0
SCE_M.US,D,20240117,000000,25.94,25.98,25.9,25.93,66597,0
SCE_M.US,D,20240118,000000,25.97,25.97,25.88,25.88,27003,0
SCE_M.US,D,20240119,000000,25.8776,25.93,25.865,25.9,84001,0
SCE_M.US,D,20240122,000000,25.97,26,25.94,25.98,63498,0
SCE_M.US,D,20240123,000000,26,26,25.94,25.96,70882,0
SCE_M.US,D,20240124,000000,26,26.02,25.9,25.98,152888,0
SCE_M.US,D,20240125,000000,26,26.3,26,26.2399,193523,0
SCE_M.US,D,20240126,000000,26.23,26.27,26.18,26.25,38754,0
SCE_M.US,D,20240129,000000,26.26,26.31,26.2262,26.31,27010,0
SCE_M.US,D,20240130,000000,26.3,26.3397,26.2,26.33,109463,0
SCE_M.US,D,20240131,000000,26.32,26.32,26.15,26.3,80713,0
SCE_M.US,D,20240201,000000,26.3,26.32,26.2353,26.32,29100,0
SCE_M.US,D,20240202,000000,26.25,26.39,26.2418,26.34,136729,0
SCE_M.US,D,20240205,000000,26.28,26.3,26.2,26.28,27771,0
SCE_M.US,D,20240206,000000,26.28,26.33,26.17,26.32,25877,0
SCE_M.US,D,20240207,000000,26.35,26.45,26.35,26.38,37110,0
SCE_M.US,D,20240208,000000,26.36,26.41,26.3,26.41,17962,0
SCE_M.US,D,20240209,000000,26.41,26.52,26.4,26.52,51740,0
SCE_M.US,D,20240212,000000,26.58,26.64,26.5201,26.62,92978,0
SCE_M.US,D,20240213,000000,26.41,26.6,26.41,26.57,165937,0
SCE_M.US,D,20240214,000000,26.6,26.77,26.6,26.75,46763,0
SCE_M.US,D,20240215,000000,26.8,26.99,26.78,26.98,64670,0
SCE_M.US,D,20240216,000000,26.95,26.98,26.8,26.95,17062,0
SCE_M.US,D,20240220,000000,26.97,27.02,26.855,27,22159,0
SCE_M.US,D,20240221,000000,27.04,27.04,26.71,26.8,73858,0
SCE_M.US,D,20240222,000000,26.8,27.0199,26.64,26.73,32095,0
SCE_M.US,D,20240223,000000,26.8868,27.02,26.815,26.98,32295,0
SCE_M.US,D,20240226,000000,27.02,27.0899,26.91,26.91,41914,0
SCE_M.US,D,20240227,000000,26.96,26.99,26.8701,26.9,76603,0
SCE_M.US,D,20240228,000000,27.11,27.11,26.8201,26.9,122710,0
SCE_M.US,D,20240229,000000,26.82,27,26.78,26.85,120134,0
SCE_M.US,D,20240301,000000,27,27,26.73,26.91,14920,0
