<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SFGV.US,D,20240122,000000,24.6783,24.6783,24.5386,24.634,23328.7,0
SFGV.US,D,20240123,000000,24.6206,24.6495,24.6206,24.6279,1634.85,0
SFGV.US,D,20240124,000000,24.7989,24.8037,24.6378,24.6378,20070.5,0
SFGV.US,D,20240125,000000,24.746,24.7749,24.746,24.7749,14824.6,0
SFGV.US,D,20240126,000000,24.823,24.8326,24.7942,24.8034,26403.4,0
SFGV.US,D,20240129,000000,24.7749,24.9773,24.7749,24.9747,5675.3,0
SFGV.US,D,20240130,000000,24.8711,24.9677,24.8711,24.9436,13317.4,0
SFGV.US,D,20240131,000000,24.9869,24.9869,24.6401,24.6563,23848.5,0
SFGV.US,D,20240201,000000,24.73,24.877,24.6206,24.877,27900.3,0
SFGV.US,D,20240202,000000,24.746,24.9387,24.746,24.9077,2375.51,0
SFGV.US,D,20240205,000000,24.6206,24.752,24.6206,24.752,128.63,0
SFGV.US,D,20240206,000000,24.8037,24.9002,24.8037,24.9002,7039.4,0
SFGV.US,D,20240207,000000,24.9484,24.9965,24.9098,24.9489,32877.5,0
SFGV.US,D,20240208,000000,24.9386,24.9869,24.9386,24.9742,16938.7,0
SFGV.US,D,20240209,000000,25.0544,25.1024,25.0544,25.0868,23489.5,0
SFGV.US,D,20240212,000000,25.2087,25.2182,25.2059,25.2059,11473,0
SFGV.US,D,20240213,000000,24.8134,24.8519,24.6773,24.7628,38280,0
SFGV.US,D,20240214,000000,24.9965,25.0351,24.9965,25.0234,91252.9,0
SFGV.US,D,20240215,000000,25.1604,25.3147,25.1604,25.3032,91151.2,0
SFGV.US,D,20240216,000000,25.281,25.281,25.2375,25.2421,10307,0
SFGV.US,D,20240220,000000,25.2166,25.2166,25.1219,25.1797,24172.1,0
SFGV.US,D,20240221,000000,25.1219,25.2087,25.1219,25.2087,15688.7,0
