<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPBU.US,D,20260701,000000,30.1,30.27,30.1,30.18,29556,0
SPBU.US,D,20260702,000000,30.22,30.285,29.87,30.04,235925,0
SPBU.US,D,20260706,000000,30.15,30.36,30.14,30.32,22225,0
SPBU.US,D,20260707,000000,30.32,30.32,30.11,30.1674,33951,0
SPBU.US,D,20260708,000000,30.06,30.14,29.96,30.14,36808,0
SPBU.US,D,20260709,000000,30.16,30.36,30.1463,30.2933,29423,0
SPBU.US,D,20260710,000000,30.52,30.52,30.28,30.405,21364,0
SPBU.US,D,20260713,000000,30.38,30.38,30.14,30.2243,9525,0
SPBU.US,D,20260714,000000,30.23,30.37,30.23,30.3229,11268,0
SPBU.US,D,20260715,000000,30.49,30.49,30.26,30.45,14745,0
SPBU.US,D,20260716,000000,30.4,30.42,30.2565,30.2565,5712,0
SPBU.US,D,20260717,000000,30.14,30.1799,29.99,30.0333,20935,0
SPBU.US,D,20260720,000000,30.22,30.22,29.92,30,23908,0
SPBU.US,D,20260721,000000,30.04,30.22,30.04,30.163,19095,0
SPBU.US,D,20260722,000000,30.1753,30.24,30.13,30.1445,14894,0
SPBU.US,D,20260723,000000,29.88,29.9,29.755,29.8125,13854,0
SPBU.US,D,20260724,000000,29.88,30.01,29.79,29.8209,34572,0
SPBU.US,D,20260727,000000,30.08,30.08,29.755,29.87,15422,0
SPBU.US,D,20260728,000000,29.795,29.97,29.69,29.86,31875,0
SPBU.US,D,20260729,000000,29.92,29.95,29.55,29.558,24454,0
SPBU.US,D,20260730,000000,29.7402,29.895,29.66,29.85,22720,0
SPBU.US,D,20260731,000000,29.84,30.12,29.84,30.11,6231,0
SPBU.US,D,20260803,000000,30.28,30.51,30.16,30.47,40164,0
SPBU.US,D,20260804,000000,30.62,31.03,30.6,30.95,35757,0
SPBU.US,D,20260805,000000,31.23,31.23,30.8604,30.9156,23090,0
SPBU.US,D,20260806,000000,30.98,30.98,30.77,30.8337,21918,0
SPBU.US,D,20260807,000000,30.96,31.04,30.87,31.04,20623,0
SPBU.US,D,20260810,000000,32,32,30.9323,31.01,37144,0
SPBU.US,D,20260811,000000,31.13,31.13,30.84,30.8724,53960,0
SPBU.US,D,20260812,000000,30.96,31.03,30.92,30.9541,17781,0
SPBU.US,D,20260813,000000,32.28,32.28,31.05,31.17,29336,0
SPBU.US,D,20260814,000000,31.29,31.29,31.03,31.0736,50574,0
SPBU.US,D,20260817,000000,31.19,31.19,30.98,30.98,15200,0
SPBU.US,D,20260818,000000,30.88,30.89,30.75,30.7598,36237,0
SPBU.US,D,20260819,000000,30.92,30.95,30.79,30.7974,26080,0
SPBU.US,D,20260820,000000,30.53,30.78,30.53,30.5728,37960,0
SPBU.US,D,20260821,000000,30.74,30.7999,30.65,30.74,26737,0
SPBU.US,D,20260824,000000,30.76,30.76,30.55,30.6385,30674,0
