<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPCM.US,D,20260629,000000,22.12,24.47,20.56,23.98,3145709,0
SPCM.US,D,20260630,000000,23.73,26.3,23.18,25.91,1702416,0
SPCM.US,D,20260701,000000,26.14,26.14,21.5,21.91,450152,0
SPCM.US,D,20260702,000000,22.49,23.05,21.4,23.025,683413,0
SPCM.US,D,20260706,000000,24.23,24.6554,21.1,22.68,653461,0
SPCM.US,D,20260707,000000,22.145,22.18,19.3999,19.57,606297,0
SPCM.US,D,20260708,000000,20.38,20.38,18.41,19.2,537979,0
SPCM.US,D,20260709,000000,19.79,20.54,19.09,20.22,296083,0
SPCM.US,D,20260710,000000,19.7,19.73,18.36,18.38,468643,0
SPCM.US,D,20260713,000000,18.18,18.18,16.2419,16.79,281548,0
SPCM.US,D,20260714,000000,17.24,17.81,16.06,16.08,756525,0
SPCM.US,D,20260715,000000,16.41,16.815,15.17,15.88,428989,0
SPCM.US,D,20260716,000000,15.82,16.4,14.84,14.89,427016,0
SPCM.US,D,20260717,000000,14.15,14.67,12.87,13.24,564251,0
SPCM.US,D,20260720,000000,13.56,13.58,12.37,12.39,343809,0
SPCM.US,D,20260721,000000,12.8,14.44,12.4991,13.09,864466,0
SPCM.US,D,20260722,000000,13.1,13.36,11.36,11.39,430409,0
SPCM.US,D,20260723,000000,11.37,11.9862,10.51,11.97,419260,0
SPCM.US,D,20260724,000000,11.5,11.5,10.58,11.29,528077,0
SPCM.US,D,20260727,000000,10.985,11.14,10.05,11.01,527380,0
SPCM.US,D,20260728,000000,10.17,11.87,9.7426,11.55,660007,0
SPCM.US,D,20260729,000000,11.17,11.775,10.37,10.8,404567,0
SPCM.US,D,20260730,000000,11.31,11.96,10.57,10.77,346175,0
SPCM.US,D,20260731,000000,10.87,10.97,9.86,9.97,431781,0
SPCM.US,D,20260803,000000,9.66,11.1775,9.36,11.14,1140296,0
SPCM.US,D,20260804,000000,11.63,13.45,11.33,13.3,2290263,0
SPCM.US,D,20260805,000000,10.49,11.52,9.52,9.61,1845276,0
SPCM.US,D,20260806,000000,9.42,10.93,9.04,10.7851,1809595,0
SPCM.US,D,20260807,000000,10.8,14.25,10.74,14.18,3705175,0
SPCM.US,D,20260810,000000,14.59,15.455,13.585,15.4,4071426,0
SPCM.US,D,20260811,000000,15.4,15.65,13.56,14.16,2215295,0
SPCM.US,D,20260812,000000,14.535,17.62,14.38,16.93,3062888,0
SPCM.US,D,20260813,000000,16.35,16.65,15.45,15.8,1666845,0
SPCM.US,D,20260814,000000,16.18,16.35,14.49,15.42,909748,0
SPCM.US,D,20260817,000000,15.49,17.6452,15.42,16.83,1000154,0
SPCM.US,D,20260818,000000,15.575,16.89,15.29,16.165,1107254,0
SPCM.US,D,20260819,000000,16.58,16.58,14.7,15.34,947957,0
SPCM.US,D,20260820,000000,14.78,14.92,13.33,14.08,1032240,0
SPCM.US,D,20260821,000000,14.17,14.785,13.54,14.715,512465,0
SPCM.US,D,20260824,000000,14.17,15,13.88,14.29,601700,0
