<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPMA.US,D,20241112,000000,24.92,24.99,24.72,24.82,47496,0
SPMA.US,D,20241113,000000,24.85,24.9,24.6044,24.77,51555,0
SPMA.US,D,20241114,000000,24.9,24.92,24.74,24.86,25355,0
SPMA.US,D,20241115,000000,24.86,24.89,24.76,24.89,18759,0
SPMA.US,D,20241118,000000,24.9,24.9,24.73,24.78,46640,0
SPMA.US,D,20241119,000000,24.81,24.85,24.7,24.73,23501,0
SPMA.US,D,20241120,000000,24.75,24.78,24.64,24.71,51444,0
SPMA.US,D,20241121,000000,24.755,24.83,24.7,24.7399,24048,0
SPMA.US,D,20241122,000000,24.7998,24.8,24.69,24.74,22480,0
SPMA.US,D,20241125,000000,24.81,24.9,24.79,24.8,18661,0
SPMA.US,D,20241126,000000,24.87,24.9,24.8,24.83,22741,0
SPMA.US,D,20241127,000000,24.8999,24.94,24.75,24.85,27737,0
SPMA.US,D,20241129,000000,24.8301,24.87,24.8,24.83,2840,0
SPMA.US,D,20241202,000000,24.89,24.9101,24.77,24.82,15494,0
SPMA.US,D,20241203,000000,24.85,24.85,24.7725,24.85,14424,0
SPMA.US,D,20241204,000000,24.85,24.9,24.77,24.84,14087,0
SPMA.US,D,20241205,000000,24.85,25.03,24.8479,25,23077,0
SPMA.US,D,20241206,000000,25,25.02,24.94,24.94,35815,0
SPMA.US,D,20241209,000000,25.02,25.05,24.9601,25.04,8734,0
SPMA.US,D,20241210,000000,25.09,25.1,25.0106,25.08,14812,0
SPMA.US,D,20241211,000000,25.05,25.1,25.0262,25.06,6229,0
SPMA.US,D,20241212,000000,25.06,25.09,24.9,25.09,10359,0
SPMA.US,D,20241213,000000,24.9,24.96,24.81,24.92,10797,0
SPMA.US,D,20241216,000000,24.875,24.97,24.84,24.8737,4699,0
SPMA.US,D,20241217,000000,24.881,24.89,24.8216,24.89,10193,0
SPMA.US,D,20241218,000000,24.88,24.905,24.66,24.66,14444,0
SPMA.US,D,20241219,000000,24.67,24.67,24.45,24.6,18707,0
