<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRAD-R.US,D,20260701,000000,0.27,0.29,0.24,0.256,112760,0
TRAD-R.US,D,20260706,000000,0.2433,0.26,0.24,0.26,43046,0
TRAD-R.US,D,20260707,000000,0.2255,0.2471,0.191,0.2471,10271,0
TRAD-R.US,D,20260709,000000,0.26,0.26,0.241451,0.241451,13700,0
TRAD-R.US,D,20260713,000000,0.26,0.32,0.2594,0.3,118470,0
TRAD-R.US,D,20260716,000000,0.3149,0.3149,0.3,0.31,6261,0
TRAD-R.US,D,20260720,000000,0.3036,0.32,0.3036,0.32,241,0
TRAD-R.US,D,20260722,000000,0.25,0.25,0.2464,0.25,1678,0
TRAD-R.US,D,20260724,000000,0.2,0.2,0.1955,0.2,25377,0
TRAD-R.US,D,20260727,000000,0.2198,0.225,0.1921,0.196671,5207,0
TRAD-R.US,D,20260728,000000,0.191,0.221,0.191,0.221,2400,0
TRAD-R.US,D,20260729,000000,0.25,0.3034,0.2487,0.2702,12784,0
TRAD-R.US,D,20260730,000000,0.3,0.3012,0.286,0.29,55306,0
TRAD-R.US,D,20260731,000000,0.29,0.3012,0.29,0.3,43801,0
TRAD-R.US,D,20260803,000000,0.3,0.32,0.3,0.3,62201,0
TRAD-R.US,D,20260804,000000,0.3,0.3,0.2288,0.2288,223,0
TRAD-R.US,D,20260805,000000,0.3,0.3,0.3,0.3,19454,0
TRAD-R.US,D,20260806,000000,0.3,0.3,0.27001,0.27001,493,0
TRAD-R.US,D,20260810,000000,0.3,0.3,0.2996,0.2996,44454,0
TRAD-R.US,D,20260811,000000,0.2996,0.3261,0.2996,0.315,59673,0
TRAD-R.US,D,20260812,000000,0.31,0.33,0.3,0.3,24913,0
TRAD-R.US,D,20260813,000000,0.34,0.36,0.3,0.36,47779,0
TRAD-R.US,D,20260814,000000,0.378,0.378,0.378,0.378,158,0
TRAD-R.US,D,20260817,000000,0.389,0.3898,0.3837,0.389,1917,0
TRAD-R.US,D,20260818,000000,0.36,0.37,0.36,0.37,3329,0
TRAD-R.US,D,20260820,000000,0.36,0.38,0.22,0.28,40219,0
TRAD-R.US,D,20260824,000000,0.224,0.31,0.2101,0.28,78972,0
