<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRAD-U.US,D,20260701,000000,10.17,10.17,10.17,10.17,102,0
TRAD-U.US,D,20260706,000000,10.15,10.2,10.15,10.1501,1960,0
TRAD-U.US,D,20260708,000000,10.16,10.16,10.16,10.16,2396,0
TRAD-U.US,D,20260709,000000,10.2,10.2,10.1999,10.1999,2504,0
TRAD-U.US,D,20260710,000000,10.15,10.15,10.15,10.15,8390,0
TRAD-U.US,D,20260714,000000,10.25,10.25,10.25,10.25,1558,0
TRAD-U.US,D,20260715,000000,10.15,10.15,10.15,10.15,1530,0
TRAD-U.US,D,20260716,000000,10.17,10.17,10.17,10.17,401,0
TRAD-U.US,D,20260717,000000,10.15,10.15,10.15,10.15,384,0
TRAD-U.US,D,20260721,000000,10.15,10.17,10.11,10.13,5352,0
TRAD-U.US,D,20260722,000000,10.2498,10.25,10.18,10.18,1099,0
TRAD-U.US,D,20260810,000000,10.215,10.3,10.215,10.2901,5111,0
TRAD-U.US,D,20260811,000000,10.31,10.715,10.29,10.31,10070,0
