<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TTDU.US,D,20260701,000000,2.87,3.165,2.76,3.01,1965545,0
TTDU.US,D,20260702,000000,3.02,3.07,2.98,2.985,1137135,0
TTDU.US,D,20260706,000000,2.94,3.1,2.805,3.055,1288210,0
TTDU.US,D,20260707,000000,3.195,3.23,2.96,3.01,1593214,0
TTDU.US,D,20260708,000000,3.02,3.04,2.89,2.97,1515531,0
TTDU.US,D,20260709,000000,2.88,3.2,2.8,3.19,1129747,0
TTDU.US,D,20260710,000000,3.35,3.38,3.0645,3.11,913460,0
TTDU.US,D,20260713,000000,3.36,3.43,3.175,3.2,1136371,0
TTDU.US,D,20260714,000000,2.97,3.085,2.91,2.91,848446,0
TTDU.US,D,20260715,000000,3.06,3.16,2.98,3.055,957600,0
TTDU.US,D,20260716,000000,3.19,3.225,2.94,2.97,631276,0
TTDU.US,D,20260717,000000,2.92,2.99,2.725,2.8,1864996,0
TTDU.US,D,20260720,000000,2.77,2.94,2.66,2.805,1189919,0
TTDU.US,D,20260721,000000,2.77,2.83,2.655,2.68,1136909,0
TTDU.US,D,20260722,000000,2.76,2.76,2.45,2.5,1494662,0
TTDU.US,D,20260723,000000,2.51,2.51,2.24,2.27,1100245,0
TTDU.US,D,20260724,000000,2.315,2.45,2.28,2.4,642400,0
TTDU.US,D,20260727,000000,2.55,2.71,2.49,2.57,991412,0
TTDU.US,D,20260728,000000,2.63,2.8987,2.61,2.86,1145687,0
TTDU.US,D,20260729,000000,2.77,3.03,2.77,2.905,959793,0
TTDU.US,D,20260730,000000,2.72,2.76,2.59,2.66,1071145,0
TTDU.US,D,20260731,000000,2.62,2.655,2.4901,2.585,607851,0
TTDU.US,D,20260803,000000,2.76,2.835,2.645,2.65,637798,0
TTDU.US,D,20260804,000000,2.58,2.97,2.55,2.96,1321141,0
TTDU.US,D,20260805,000000,3.01,3.01,2.775,2.83,741126,0
TTDU.US,D,20260806,000000,2.7,2.845,2.375,2.46,9488198,0
TTDU.US,D,20260807,000000,1.13,1.58,1.12,1.38,12990493,0
TTDU.US,D,20260810,000000,1.32,1.35,1.185,1.3,6621277,0
TTDU.US,D,20260811,000000,1.25,1.36,1.25,1.33,2110305,0
TTDU.US,D,20260812,000000,1.32,1.35,1.23,1.305,2862125,0
TTDU.US,D,20260813,000000,1.35,1.54,1.325,1.51,3457852,0
TTDU.US,D,20260814,000000,1.5,1.5274,1.4,1.425,1596159,0
TTDU.US,D,20260817,000000,1.345,1.39,1.26,1.28,2513710,0
TTDU.US,D,20260818,000000,1.29,1.345,1.26,1.28,1292393,0
TTDU.US,D,20260819,000000,1.27,1.34,1.24,1.3,1941424,0
TTDU.US,D,20260820,000000,1.3,1.31,1.22,1.25,2233023,0
TTDU.US,D,20260821,000000,1.265,1.27,1.22,1.23,1944335,0
TTDU.US,D,20260824,000000,12.3433,12.71,12.25,12.44,284009,0
