<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNX.US,D,20250916,000000,246.6,254.05,236.95,245,1949.4,0
UNX.US,D,20250917,000000,234,240.8,232.7,240,1186.4,0
UNX.US,D,20250918,000000,225.6,240.2,225.6,235,2481.8,0
UNX.US,D,20250919,000000,240.58,246.2,240.3,244,577.4,0
UNX.US,D,20250922,000000,245.5,248,242.7,242.98,630.2,0
UNX.US,D,20250923,000000,240.448,240.448,240.448,240.448,20,0
UNX.US,D,20250924,000000,228.1,228.799,228.1,228.799,60,0
UNX.US,D,20250925,000000,216.6,216.6,209.868,214.6,52.2,0
UNX.US,D,20250926,000000,198.8,207.852,195,207.852,419,0
UNX.US,D,20250929,000000,209.9,215.1,209.1,210.246,711.4,0
UNX.US,D,20250930,000000,203.1,203.1,177.2,178.185,2611.4,0
UNX.US,D,20251001,000000,180,185,161.4,161.4,972.7,0
UNX.US,D,20251002,000000,171.6,172.7,163.338,171.889,1262.8,0
UNX.US,D,20251003,000000,173.9,177.5,158,162.4,1168.7,0
UNX.US,D,20251006,000000,167.1,169,154,159.5,3049.6,0
UNX.US,D,20251007,000000,153,153,144.7,150.2,8362.3,0
UNX.US,D,20251008,000000,150.2,153.05,148.7,151.2,846.4,0
UNX.US,D,20251009,000000,150.4,170.91,150.4,170.2,4108.4,0
UNX.US,D,20251010,000000,170.2,179.5,144.4,144.4,4872.3,0
UNX.US,D,20251013,000000,150.1,155.7,145.1,155.7,940.2,0
UNX.US,D,20251014,000000,143.064,152.5,141.9,149.2,362.8,0
UNX.US,D,20251015,000000,160,164.1,152.9,156,1525.4,0
UNX.US,D,20251016,000000,138.5,143.984,131.1,132.9,1359.1,0
UNX.US,D,20251017,000000,132.296,137.554,132.296,137,839.3,0
UNX.US,D,20251020,000000,140.7,140.7,136.1,136.1,1446.6,0
UNX.US,D,20251021,000000,138.9,161.1,138.9,147.9,1124.6,0
UNX.US,D,20251022,000000,140.8,145,131,132.463,889.3,0
UNX.US,D,20251023,000000,135.221,145.5,135.221,145.5,297.5,0
UNX.US,D,20251024,000000,154.799,156,145.9,153.496,632.9,0
UNX.US,D,20251027,000000,159,169,159,167,2142.7,0
UNX.US,D,20251028,000000,162,162,152.2,152.2,8842.9,0
UNX.US,D,20251029,000000,145.8,153.5,145.5,149.5,7394.8,0
UNX.US,D,20251030,000000,143.7,147.8,141.1,141.1,782,0
UNX.US,D,20251031,000000,151.1,155.341,149.8,155.341,565.3,0
UNX.US,D,20251103,000000,161.1,161.3,151.4,152.3,544.2,0
UNX.US,D,20251104,000000,142,147,138.6,138.6,465.8,0
UNX.US,D,20251105,000000,182.5,190.8,154.8,189.001,8314.2,0
UNX.US,D,20251106,000000,178.6,186.1,164.1,166.8,893.1,0
UNX.US,D,20251107,000000,163,170.1,151.5,168.1,6889.7,0
UNX.US,D,20251110,000000,178.2,198.4,174.8,195,2538.1,0
UNX.US,D,20251111,000000,186.913,198.59,176.8,179,7176.5,0
UNX.US,D,20251112,000000,180.7,180.7,164.8,166.4,1924.1,0
UNX.US,D,20251113,000000,160,160,137.391,142.7,1328.5,0
UNX.US,D,20251114,000000,125,142.95,125,142,972.7,0
UNX.US,D,20251117,000000,145.199,145.199,137.9,137.9,1739.1,0
UNX.US,D,20251118,000000,132,142.5,132,141.6,943.2,0
