<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VDIG.US,D,20260701,000000,62.44,62.94,62.44,62.7795,5151,0
VDIG.US,D,20260702,000000,63.08,63.5419,63.0653,63.5419,10821,0
VDIG.US,D,20260706,000000,63.79,63.79,63.33,63.6036,7930,0
VDIG.US,D,20260707,000000,63.63,63.63,63.44,63.49,2404,0
VDIG.US,D,20260708,000000,63.19,63.25,63,63.01,50279,0
VDIG.US,D,20260709,000000,63.12,63.34,63.12,63.2854,4755,0
VDIG.US,D,20260710,000000,63.42,63.51,63.19,63.477,15503,0
VDIG.US,D,20260713,000000,63.52,63.52,63.2794,63.2794,4861,0
VDIG.US,D,20260714,000000,63.22,63.22,62.79,62.79,20808,0
VDIG.US,D,20260715,000000,62.97,63.01,62.9666,62.9666,6810,0
VDIG.US,D,20260716,000000,63.04,63.455,63.0399,63.3607,3400,0
VDIG.US,D,20260717,000000,63.19,63.19,62.71,62.794,6940,0
VDIG.US,D,20260720,000000,62.76,62.8,62.5772,62.5772,1231,0
VDIG.US,D,20260721,000000,62.32,62.57,62.32,62.5114,2174,0
VDIG.US,D,20260722,000000,62.45,62.51,62.34,62.5096,3869,0
VDIG.US,D,20260723,000000,61.98,62.2445,61.98,62.2445,2414,0
VDIG.US,D,20260724,000000,62.65,62.66,62.53,62.5876,3167,0
VDIG.US,D,20260727,000000,63.1,63.14,62.95,63.14,912,0
VDIG.US,D,20260728,000000,63.62,63.87,63.61,63.7632,13016,0
VDIG.US,D,20260729,000000,63.64,63.65,63.1116,63.1116,3905,0
VDIG.US,D,20260730,000000,63.55,63.6059,63.4499,63.6059,1851,0
VDIG.US,D,20260731,000000,63.25,63.438,62.88,63.438,11545,0
VDIG.US,D,20260803,000000,63.67,63.7275,63.39,63.7275,3797,0
VDIG.US,D,20260804,000000,64.12,64.73,64.12,64.63,6059,0
VDIG.US,D,20260805,000000,65.09,65.125,64.87,64.925,25786,0
VDIG.US,D,20260806,000000,65.04,65.04,64.625,64.7476,1717,0
VDIG.US,D,20260807,000000,64.93,64.9795,64.78,64.9795,14033,0
VDIG.US,D,20260810,000000,65.06,65.06,64.94,65.03,15728,0
VDIG.US,D,20260811,000000,65.22,65.305,64.885,64.8899,22865,0
VDIG.US,D,20260812,000000,64.78,64.86,64.71,64.7575,26630,0
VDIG.US,D,20260813,000000,64.95,65.05,64.77,64.896,13432,0
VDIG.US,D,20260814,000000,64.69,64.7,64.5703,64.5928,755,0
VDIG.US,D,20260817,000000,64.48,64.48,64.15,64.15,3220,0
VDIG.US,D,20260818,000000,64.11,64.2401,64.11,64.16,2277,0
VDIG.US,D,20260819,000000,64.41,64.73,64.41,64.4318,826,0
VDIG.US,D,20260820,000000,64.19,64.36,63.8946,63.8946,3486,0
VDIG.US,D,20260821,000000,64.17,64.25,64.07,64.16,2631,0
VDIG.US,D,20260824,000000,64.14,64.345,64.14,64.3429,7096,0
