<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WMTI.US,D,20260630,000000,22.32,22.43,22.06,22.12,37726,0
WMTI.US,D,20260701,000000,21.4,21.46,20.66,21.01,79082,0
WMTI.US,D,20260702,000000,21.1,21.62,21.1,21.55,47680,0
WMTI.US,D,20260706,000000,21.43,21.5696,21.1401,21.4,30243,0
WMTI.US,D,20260707,000000,21.5,21.675,21.4,21.4096,9694,0
WMTI.US,D,20260708,000000,21.6,21.6909,21.42,21.64,24470,0
WMTI.US,D,20260709,000000,21.43,21.5799,21.4165,21.53,20833,0
WMTI.US,D,20260710,000000,21.51,21.88,21.4822,21.86,18030,0
WMTI.US,D,20260713,000000,22.04,22.1738,21.94,22.01,15422,0
WMTI.US,D,20260714,000000,22.04,22.09,21.7,21.7,10634,0
WMTI.US,D,20260715,000000,21.7,21.925,21.55,21.55,17151,0
WMTI.US,D,20260716,000000,21.82,22.06,21.82,21.9859,9542,0
WMTI.US,D,20260717,000000,22.36,22.545,21.755,21.8921,24413,0
WMTI.US,D,20260720,000000,21.88,21.88,21.4,21.46,23538,0
WMTI.US,D,20260721,000000,21.21,21.21,20.76,20.87,27920,0
WMTI.US,D,20260722,000000,20.72,20.87,20.5,20.69,24951,0
WMTI.US,D,20260723,000000,20.27,20.444,20.13,20.444,73835,0
WMTI.US,D,20260724,000000,20.42,20.69,20.42,20.65,15461,0
WMTI.US,D,20260727,000000,20.7,21.17,20.7,21.1,18527,0
WMTI.US,D,20260728,000000,21.31,21.61,21.22,21.22,39740,0
WMTI.US,D,20260729,000000,21.35,21.415,21.2,21.37,14349,0
WMTI.US,D,20260730,000000,21.06,21.23,20.865,20.955,33524,0
WMTI.US,D,20260731,000000,20.84,21.11,20.75,21,23443,0
WMTI.US,D,20260803,000000,21.085,21.085,20.81,20.9177,18011,0
WMTI.US,D,20260804,000000,20.46,20.91,20.35,20.91,27820,0
WMTI.US,D,20260805,000000,21.22,21.24,20.9101,21.1093,30036,0
WMTI.US,D,20260806,000000,21.37,21.37,20.93,21.0631,8726,0
WMTI.US,D,20260807,000000,20.86,21.1027,20.86,21.0235,8049,0
WMTI.US,D,20260810,000000,20.92,21.2,20.895,21.2,9383,0
WMTI.US,D,20260811,000000,21.13,21.2283,21.085,21.2283,10886,0
WMTI.US,D,20260812,000000,21.05,21.59,21.05,21.58,14438,0
WMTI.US,D,20260813,000000,21.64,21.64,21.51,21.5998,9710,0
WMTI.US,D,20260814,000000,21.5763,21.63,21.5361,21.5446,15328,0
WMTI.US,D,20260817,000000,21.32,21.5599,21.32,21.37,24843,0
WMTI.US,D,20260818,000000,21.57,21.605,21.3204,21.4176,15493,0
WMTI.US,D,20260819,000000,21.35,21.71,21.21,21.22,18668,0
WMTI.US,D,20260820,000000,19.65,19.66,18.895,19.09,219583,0
WMTI.US,D,20260821,000000,19.21,19.21,19.1501,19.18,42331,0
WMTI.US,D,20260824,000000,19.29,19.6,19.19,19.54,38939,0
