<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WNDR.US,D,20260615,000000,27.74,27.75,27.6327,27.6327,226,0
WNDR.US,D,20260617,000000,27.48,27.48,27.455,27.455,539,0
WNDR.US,D,20260622,000000,27.7,27.7,27.653,27.653,513,0
WNDR.US,D,20260625,000000,28.2,28.2001,28.1106,28.1106,303,0
WNDR.US,D,20260630,000000,28.31,28.31,28.1742,28.1742,642,0
WNDR.US,D,20260701,000000,28.41,28.41,28.1509,28.1509,190,0
WNDR.US,D,20260702,000000,28.46,28.46,28.125,28.332,1219,0
WNDR.US,D,20260707,000000,27.94,27.94,27.9387,27.9387,8902,0
WNDR.US,D,20260709,000000,27.36,27.7448,27.36,27.7448,361,0
WNDR.US,D,20260710,000000,27.82,27.82,27.7929,27.7929,9020,0
WNDR.US,D,20260714,000000,27.35,27.3618,27.12,27.3618,628,0
WNDR.US,D,20260715,000000,27.63,27.83,27.63,27.7263,518,0
WNDR.US,D,20260716,000000,27.81,27.81,27.81,27.81,389,0
WNDR.US,D,20260729,000000,28.07,28.08,28.0209,28.0209,786,0
WNDR.US,D,20260731,000000,27.74,27.7466,27.74,27.7466,392,0
WNDR.US,D,20260804,000000,28.35,28.375,28.35,28.3628,599,0
WNDR.US,D,20260805,000000,28.7,28.7,28.57,28.6177,486,0
WNDR.US,D,20260806,000000,28.24,28.2418,28.24,28.2418,289,0
WNDR.US,D,20260807,000000,28.34,28.4389,28.34,28.4389,520,0
WNDR.US,D,20260824,000000,28.0386,28.0386,28.0386,28.0386,169,0
