<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XRN_B.US,D,20260701,000000,25.75,25.925,25.62,25.91,2879,0
XRN_B.US,D,20260702,000000,26.27,27.98,25.61,26.4562,13786,0
XRN_B.US,D,20260706,000000,26,26.4,25.69,26.1,4112,0
XRN_B.US,D,20260707,000000,25.895,25.97,25.895,25.97,944,0
XRN_B.US,D,20260708,000000,25.7301,26.3,25.56,26.1,4133,0
XRN_B.US,D,20260709,000000,25.7401,26.015,25.69,26.015,1382,0
XRN_B.US,D,20260710,000000,26.02,26.2,25.985,26.04,3363,0
XRN_B.US,D,20260713,000000,26.06,26.11,25.72,25.91,3848,0
XRN_B.US,D,20260714,000000,26,26,25.82,25.87,3581,0
XRN_B.US,D,20260715,000000,25.74,25.9,25.5541,25.9,4427,0
XRN_B.US,D,20260716,000000,25.58,25.58,25.58,25.58,651,0
XRN_B.US,D,20260717,000000,25.635,26,25.2502,25.625,2870,0
XRN_B.US,D,20260720,000000,25.31,25.4599,25.25,25.39,2763,0
XRN_B.US,D,20260721,000000,25.4,25.9,25.4,25.42,2406,0
XRN_B.US,D,20260722,000000,25.69,25.79,25.3801,25.78,1547,0
XRN_B.US,D,20260724,000000,25.55,25.55,25.55,25.55,152,0
XRN_B.US,D,20260727,000000,25.5,25.51,25.5,25.51,2504,0
XRN_B.US,D,20260728,000000,25.51,25.6,25.51,25.55,11099,0
XRN_B.US,D,20260729,000000,25.64,25.64,25.64,25.64,113,0
XRN_B.US,D,20260730,000000,25.53,25.53,25.53,25.53,297,0
XRN_B.US,D,20260803,000000,25.53,25.53,25.53,25.53,419,0
XRN_B.US,D,20260804,000000,25.31,25.62,25.31,25.62,748,0
XRN_B.US,D,20260805,000000,25.45,25.67,25.45,25.67,286,0
XRN_B.US,D,20260806,000000,25.42,25.4999,25.27,25.45,3545,0
XRN_B.US,D,20260807,000000,25.335,25.3784,25.3,25.3337,1995,0
XRN_B.US,D,20260810,000000,25.63,25.99,25.44,25.99,12297,0
XRN_B.US,D,20260811,000000,25.4996,25.95,25.4996,25.95,4561,0
XRN_B.US,D,20260812,000000,25.89,26.36,25.5,25.63,12829,0
XRN_B.US,D,20260813,000000,25.6,26.275,25.56,25.56,81581,0
XRN_B.US,D,20260814,000000,25.55,26.165,25.33,25.51,5656,0
XRN_B.US,D,20260817,000000,25.574,25.574,25.33,25.4,7718,0
XRN_B.US,D,20260818,000000,25.36,25.4045,25.33,25.33,5885,0
XRN_B.US,D,20260819,000000,25.33,25.385,25.33,25.375,3800,0
XRN_B.US,D,20260820,000000,25.38,25.38,25.37,25.37,676,0
XRN_B.US,D,20260821,000000,25.33,25.4105,25.33,25.34,1564,0
XRN_B.US,D,20260824,000000,25.33,25.33,25.33,25.33,681,0
