<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XXV.US,D,20260701,000000,23.6,24.05,23.59,23.9251,21049,0
XXV.US,D,20260702,000000,23.86,23.9196,23.79,23.8407,22038,0
XXV.US,D,20260706,000000,23.48,23.82,23.45,23.81,16850,0
XXV.US,D,20260707,000000,23.72,23.73,23.51,23.61,17637,0
XXV.US,D,20260708,000000,23.21,23.42,23.1101,23.32,13780,0
XXV.US,D,20260709,000000,23.53,23.64,23.53,23.61,26780,0
XXV.US,D,20260710,000000,23.48,23.65,23.45,23.53,12502,0
XXV.US,D,20260713,000000,23.56,23.56,23.36,23.421,14944,0
XXV.US,D,20260714,000000,23.39,23.56,23.39,23.5056,6092,0
XXV.US,D,20260715,000000,23.5,23.53,23.325,23.4,9936,0
XXV.US,D,20260716,000000,23.3,23.3,23.13,23.215,10397,0
XXV.US,D,20260717,000000,22.98,23.2084,22.9,23.1,9348,0
XXV.US,D,20260720,000000,23.17,23.2,23.02,23.08,9163,0
XXV.US,D,20260721,000000,23.23,23.49,23.23,23.49,60455,0
XXV.US,D,20260722,000000,23.25,23.36,23.1,23.1093,32821,0
XXV.US,D,20260723,000000,23.13,23.13,22.9101,22.9901,11390,0
XXV.US,D,20260724,000000,22.87,23,22.65,22.68,32052,0
XXV.US,D,20260727,000000,22.7504,22.86,22.57,22.82,69300,0
XXV.US,D,20260728,000000,21.62,22.0199,21.605,21.8985,48396,0
XXV.US,D,20260729,000000,21.91,21.9219,21.5501,21.5501,26107,0
XXV.US,D,20260730,000000,21.82,22.18,21.82,22.1755,18628,0
XXV.US,D,20260731,000000,22.31,22.35,22.035,22.1907,14630,0
XXV.US,D,20260803,000000,22.25,22.65,22.05,22.57,20352,0
XXV.US,D,20260804,000000,23.07,23.75,23.07,23.6449,14397,0
XXV.US,D,20260805,000000,23.3,23.34,23.158,23.23,15339,0
XXV.US,D,20260806,000000,22.75,23.23,22.75,23.1297,5806,0
XXV.US,D,20260807,000000,23.375,23.53,23.35,23.5077,14776,0
XXV.US,D,20260810,000000,23.585,23.59,23.45,23.4609,20403,0
XXV.US,D,20260811,000000,23.61,23.63,23.5,23.5859,19462,0
XXV.US,D,20260812,000000,23.8112,23.82,23.73,23.7733,12980,0
XXV.US,D,20260813,000000,23.8508,24.0799,23.8508,24.0415,20101,0
XXV.US,D,20260814,000000,24.1,24.125,24,24.11,28886,0
XXV.US,D,20260817,000000,23.99,24.16,23.99,24.13,16857,0
XXV.US,D,20260818,000000,23.97,23.97,23.788,23.8,21614,0
XXV.US,D,20260819,000000,23.71,23.81,23.57,23.7744,14123,0
XXV.US,D,20260820,000000,23.68,23.68,23.595,23.646,16652,0
XXV.US,D,20260821,000000,23.68,23.8599,23.68,23.77,17131,0
XXV.US,D,20260824,000000,23.5,23.5799,23.4,23.4892,17270,0
