<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XYZY.US,D,20260701,000000,25.63,26.34,25.63,26.11,7868,0
XYZY.US,D,20260702,000000,26.25,26.59,26.11,26.11,10087,0
XYZY.US,D,20260706,000000,26.46,26.46,26.04,26.4316,12199,0
XYZY.US,D,20260707,000000,26.9,26.9,26.05,26.13,12673,0
XYZY.US,D,20260708,000000,25.65,25.89,25.342,25.89,9986,0
XYZY.US,D,20260709,000000,25.3,25.8594,25.255,25.69,10735,0
XYZY.US,D,20260710,000000,26.33,26.33,25.7,25.82,12083,0
XYZY.US,D,20260713,000000,25.7,26.1258,25.51,26.07,6793,0
XYZY.US,D,20260714,000000,26.38,26.625,26.28,26.51,9063,0
XYZY.US,D,20260715,000000,26.5,27.3,25.685,26.92,18529,0
XYZY.US,D,20260716,000000,26.67,26.67,26.36,26.38,9324,0
XYZY.US,D,20260717,000000,26.0617,26.36,26.0617,26.36,7304,0
XYZY.US,D,20260720,000000,26.17,26.37,25.89,26.1328,9850,0
XYZY.US,D,20260721,000000,25.9,26.5469,25.9,26.48,7560,0
XYZY.US,D,20260722,000000,26.54,26.54,25.65,25.728,8890,0
XYZY.US,D,20260723,000000,25.22,25.42,24.9,25.15,33283,0
XYZY.US,D,20260724,000000,25.15,25.48,25.0238,25.2675,6385,0
XYZY.US,D,20260727,000000,25.7,26.1787,25.7,26.1787,10870,0
XYZY.US,D,20260728,000000,26.4,26.7,26.21,26.7,9667,0
XYZY.US,D,20260729,000000,26.63,26.9699,26.33,26.54,7444,0
XYZY.US,D,20260730,000000,26.35,26.35,25.91,26.27,4645,0
XYZY.US,D,20260731,000000,26.25,26.25,25.7,25.87,11276,0
XYZY.US,D,20260803,000000,26.05,26.07,25.85,26.03,13626,0
XYZY.US,D,20260804,000000,26.5,26.75,26.5,26.73,15969,0
XYZY.US,D,20260805,000000,26.8,27.055,26.53,26.6947,12288,0
XYZY.US,D,20260806,000000,26,26,25.16,25.3665,28252,0
XYZY.US,D,20260807,000000,25.63,25.63,25.15,25.2835,6181,0
XYZY.US,D,20260810,000000,25.44,25.58,25.35,25.3989,8042,0
XYZY.US,D,20260811,000000,25.59,25.5904,25.31,25.3799,19056,0
XYZY.US,D,20260812,000000,25.26,25.445,24.97,25.2622,11851,0
XYZY.US,D,20260813,000000,25.355,26.189,25.355,26.189,9096,0
XYZY.US,D,20260814,000000,25.96,26.2,25.96,26.0444,7367,0
XYZY.US,D,20260817,000000,25.78,25.9393,25.48,25.5179,5863,0
XYZY.US,D,20260818,000000,25.69,25.69,25.3986,25.3986,3205,0
XYZY.US,D,20260819,000000,25.35,25.79,25.35,25.607,6425,0
XYZY.US,D,20260820,000000,25.5,25.629,25.11,25.2761,12584,0
XYZY.US,D,20260821,000000,25.53,25.6,25.3869,25.3869,12831,0
XYZY.US,D,20260824,000000,25.49,26,25.49,25.569,15841,0
