<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZCBG.US,D,20260108,000000,50.2871,50.2871,50.2871,50.2871,3,0
ZCBG.US,D,20260109,000000,50.1044,50.1044,50.1044,50.1044,3,0
ZCBG.US,D,20260113,000000,50.1423,50.1423,50.1423,50.1423,10002,0
ZCBG.US,D,20260114,000000,50.2041,50.2041,50.2041,50.2041,10003,0
ZCBG.US,D,20260115,000000,50.3455,50.3455,50.3455,50.3455,1,0
ZCBG.US,D,20260116,000000,50.2612,50.2612,50.2612,50.2612,2,0
ZCBG.US,D,20260121,000000,49.7354,49.7354,49.7354,49.7354,4,0
ZCBG.US,D,20260122,000000,49.9007,49.9007,49.9007,49.9007,11,0
ZCBG.US,D,20260123,000000,49.9149,49.9149,49.9149,49.9149,10,0
ZCBG.US,D,20260127,000000,50.1453,50.1453,50.1453,50.1453,7,0
ZCBG.US,D,20260128,000000,50.0601,50.0601,50.0601,50.0601,2,0
ZCBG.US,D,20260129,000000,50.0189,50.0189,50.0189,50.0189,7,0
ZCBG.US,D,20260130,000000,50.1012,50.1012,50.1012,50.1012,5,0
ZCBG.US,D,20260203,000000,49.7886,49.7886,49.7886,49.7886,31,0
ZCBG.US,D,20260204,000000,49.8477,49.8477,49.8477,49.8477,13,0
ZCBG.US,D,20260205,000000,49.8215,49.8215,49.8215,49.8215,7,0
ZCBG.US,D,20260206,000000,50.2217,50.2217,50.2217,50.2217,14,0
ZCBG.US,D,20260210,000000,50.2535,50.2535,50.2535,50.2535,1,0
ZCBG.US,D,20260211,000000,50.5427,50.5427,50.5427,50.5427,12,0
ZCBG.US,D,20260212,000000,50.3865,50.3865,50.3865,50.3865,11,0
ZCBG.US,D,20260213,000000,50.8077,50.8077,50.8077,50.8077,11,0
ZCBG.US,D,20260218,000000,51.0635,51.0635,51.0635,51.0635,11,0
ZCBG.US,D,20260219,000000,50.9334,50.9334,50.9334,50.9334,11,0
ZCBG.US,D,20260220,000000,51.0049,51.0049,51.0049,51.0049,11,0
ZCBG.US,D,20260224,000000,51.2555,51.2555,51.2555,51.2555,11,0
ZCBG.US,D,20260225,000000,51.2306,51.2306,51.2306,51.2306,11,0
ZCBG.US,D,20260226,000000,51.215,51.215,51.215,51.215,11,0
ZCBG.US,D,20260227,000000,51.395,51.395,51.395,51.395,11,0
ZCBG.US,D,20260303,000000,51.0934,51.0934,51.0934,51.0934,11,0
ZCBG.US,D,20260304,000000,51.033,51.033,51.033,51.033,12,0
ZCBG.US,D,20260305,000000,50.9167,50.9167,50.9167,50.9167,13,0
ZCBG.US,D,20260306,000000,50.7285,50.7285,50.7285,50.7285,12,0
ZCBG.US,D,20260310,000000,50.8815,50.8815,50.8815,50.8815,15,0
ZCBG.US,D,20260311,000000,50.6553,50.6553,50.6553,50.6553,18,0
ZCBG.US,D,20260312,000000,50.3719,50.3719,50.3719,50.3719,7,0
ZCBG.US,D,20260313,000000,50.1937,50.1937,50.1937,50.1937,7,0
ZCBG.US,D,20260317,000000,50.3602,50.3602,50.3602,50.3602,7,0
ZCBG.US,D,20260318,000000,50.4853,50.4853,50.4853,50.4853,7,0
ZCBG.US,D,20260319,000000,50.1935,50.1935,50.1935,50.1935,7,0
ZCBG.US,D,20260320,000000,50.2608,50.2608,50.2608,50.2608,7,0
ZCBG.US,D,20260324,000000,49.8856,49.8856,49.8856,49.8856,7,0
ZCBG.US,D,20260325,000000,49.6873,49.6873,49.6873,49.6873,7,0
ZCBG.US,D,20260326,000000,49.996,49.996,49.996,49.996,7,0
ZCBG.US,D,20260327,000000,49.5477,49.5477,49.5477,49.5477,7,0
ZCBG.US,D,20260331,000000,49.9287,49.9287,49.9287,49.9287,7,0
ZCBG.US,D,20260401,000000,50.1002,50.1002,50.1002,50.1002,7,0
ZCBG.US,D,20260402,000000,49.7996,49.7996,49.7996,49.7996,2,0
ZCBG.US,D,20260407,000000,49.8142,49.8142,49.8142,49.8142,4,0
ZCBG.US,D,20260408,000000,49.9157,49.9157,49.9157,49.9157,4,0
ZCBG.US,D,20260409,000000,50.0706,50.0706,50.0706,50.0706,2,0
ZCBG.US,D,20260410,000000,50.0402,50.0402,50.0402,50.0402,1,0
ZCBG.US,D,20260414,000000,50.0431,50.0431,50.0431,50.0431,100,0
ZCBG.US,D,20260415,000000,50.2449,50.2449,50.2449,50.2449,100,0
ZCBG.US,D,20260416,000000,50.1319,50.1319,50.1319,50.1319,100,0
ZCBG.US,D,20260417,000000,50.0078,50.0078,50.0078,50.0078,100,0
ZCBG.US,D,20260421,000000,50.2542,50.2542,50.2542,50.2542,100,0
ZCBG.US,D,20260422,000000,50.0231,50.0231,50.0231,50.0231,100,0
ZCBG.US,D,20260423,000000,50.0683,50.0683,50.0683,50.0683,100,0
ZCBG.US,D,20260424,000000,49.9841,49.9841,49.9841,49.9841,101,0
ZCBG.US,D,20260428,000000,49.9449,49.9449,49.9449,49.9449,2,0
ZCBG.US,D,20260429,000000,49.7078,49.7078,49.6211,49.6211,406,0
ZCBG.US,D,20260522,000000,48.95,49.0551,48.95,49.0551,502,0
ZCBG.US,D,20260609,000000,49.005,49.0543,49.005,49.0543,530,0
ZCBG.US,D,20260622,000000,49.31,49.31,49.305,49.305,452,0
ZCBG.US,D,20260630,000000,49.5286,49.5286,49.5286,49.5286,9,0
ZCBG.US,D,20260701,000000,49.1939,49.1939,49.1939,49.1939,9,0
