<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JAGU.US,D,20260210,000000,5.5,5.5,3.07,3.07,2531561,0
JAGU.US,D,20260211,000000,3.57,3.65,3.08,3.26,1337002,0
JAGU.US,D,20260212,000000,3.37,3.515,3.17,3.3,336430,0
JAGU.US,D,20260213,000000,3.38,3.4534,3.2101,3.32,143536,0
JAGU.US,D,20260217,000000,3.46,3.47,3.05,3.3,324997,0
JAGU.US,D,20260218,000000,3.18,3.24,2.6323,3,488882,0
JAGU.US,D,20260219,000000,2.99,3.3,2.88,3.25,180312,0
JAGU.US,D,20260220,000000,3.185,3.38,3.16,3.2,197860,0
JAGU.US,D,20260223,000000,3.14,3.315,2.65,2.88,136124,0
JAGU.US,D,20260224,000000,3.2138,3.2138,2.32,2.35,366700,0
JAGU.US,D,20260225,000000,2.6156,2.688,2.45,2.63,357200,0
JAGU.US,D,20260226,000000,2.895,2.96,2.4,2.55,390028,0
JAGU.US,D,20260227,000000,2.558,2.558,2.26,2.46,104933,0
JAGU.US,D,20260302,000000,2.36,3.5999,2.32,2.86,2051735,0
JAGU.US,D,20260303,000000,2.75,2.85,2.5,2.59,377564,0
JAGU.US,D,20260304,000000,2.68,2.83,2.5,2.73,733303,0
JAGU.US,D,20260305,000000,2.77,2.8,2.31,2.58,387894,0
JAGU.US,D,20260306,000000,2.37,2.4899,2.2501,2.37,148144,0
JAGU.US,D,20260309,000000,2.26,2.3,1.85,1.93,356906,0
JAGU.US,D,20260310,000000,2,2.03,1.78,1.82,492590,0
JAGU.US,D,20260311,000000,1.8987,1.915,1.76,1.77,200082,0
JAGU.US,D,20260312,000000,1.772,1.89,1.62,1.66,465191,0
JAGU.US,D,20260313,000000,1.7,1.73,1.44,1.64,689556,0
JAGU.US,D,20260316,000000,1.6334,1.9599,1.59,1.65,351925,0
JAGU.US,D,20260317,000000,1.7,1.7917,1.57,1.61,384268,0
JAGU.US,D,20260318,000000,1.6899,1.6986,1.5,1.63,413827,0
JAGU.US,D,20260319,000000,1.62,1.63,1.47,1.61,383027,0
JAGU.US,D,20260320,000000,1.67,1.9,1.54,1.55,892714,0
JAGU.US,D,20260323,000000,1.71,1.77,1.5,1.7,1539572,0
JAGU.US,D,20260324,000000,1.64,1.7,1.53,1.61,650109,0
JAGU.US,D,20260325,000000,1.64,1.9386,1.6,1.78,680573,0
JAGU.US,D,20260326,000000,1.8,1.8212,1.59,1.68,504574,0
JAGU.US,D,20260327,000000,1.67,1.96,1.59,1.95,476481,0
JAGU.US,D,20260330,000000,1.88,1.9,1.6726,1.75,334257,0
JAGU.US,D,20260331,000000,1.78,2.8,1.76,2.75,2693655,0
JAGU.US,D,20260401,000000,2.64,2.94,2.17,2.77,1020423,0
JAGU.US,D,20260402,000000,2.7,2.75,2.42,2.51,190689,0
JAGU.US,D,20260406,000000,2.42,2.4999,2.23,2.37,154550,0
JAGU.US,D,20260407,000000,2.23,2.69,2.1139,2.38,327366,0
JAGU.US,D,20260408,000000,2.52,2.62,2.01,2.23,395267,0
JAGU.US,D,20260409,000000,2.23,2.25,2.095,2.25,79774,0
JAGU.US,D,20260410,000000,2.21,2.3134,2.05,2.18,153120,0
JAGU.US,D,20260413,000000,2.12,2.44,2.08,2.35,134707,0
JAGU.US,D,20260414,000000,2.37,2.5587,2.2,2.29,142343,0
JAGU.US,D,20260415,000000,2.3,2.45,2.1547,2.39,162919,0
JAGU.US,D,20260416,000000,2.4,2.99,2.38,2.87,477201,0
JAGU.US,D,20260417,000000,2.9,2.9,2.565,2.83,338775,0
JAGU.US,D,20260420,000000,2.88,3.27,2.6,2.99,507386,0
JAGU.US,D,20260421,000000,3,3.1,2.46,2.66,339024,0
JAGU.US,D,20260422,000000,2.7,2.7,2.5,2.61,170347,0
JAGU.US,D,20260423,000000,2.67,2.67,2.35,2.41,212453,0
JAGU.US,D,20260424,000000,2.46,2.71,2.3805,2.58,120205,0
JAGU.US,D,20260427,000000,2.62,3.025,2.62,2.8,207095,0
JAGU.US,D,20260428,000000,2.79,2.8,2.5,2.71,113787,0
JAGU.US,D,20260429,000000,2.67,2.675,2.4,2.53,145739,0
JAGU.US,D,20260430,000000,2.5,2.67,2.42,2.51,85697,0
JAGU.US,D,20260501,000000,2.54,2.57,2.28,2.42,157508,0
JAGU.US,D,20260504,000000,2.35,2.37,2.23,2.28,65093,0
JAGU.US,D,20260505,000000,2.32,2.4499,2.25,2.44,48867,0
JAGU.US,D,20260506,000000,2.45,2.6,2.4,2.58,63905,0
JAGU.US,D,20260507,000000,2.55,2.55,2.26,2.35,71555,0
