<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEGO-WS.US,D,20260702,000000,0.48,0.5499,0.48,0.51495,20576,0
LEGO-WS.US,D,20260706,000000,0.5149,0.53,0.51,0.53,6974,0
LEGO-WS.US,D,20260709,000000,0.47,0.4701,0.4,0.405,4254,0
LEGO-WS.US,D,20260716,000000,0.3946,0.3946,0.3946,0.3946,185,0
LEGO-WS.US,D,20260721,000000,0.5299,0.5299,0.5299,0.5299,200,0
LEGO-WS.US,D,20260722,000000,0.5,0.5,0.4999,0.4999,104070,0
LEGO-WS.US,D,20260723,000000,0.4999,0.4999,0.4999,0.4999,248,0
LEGO-WS.US,D,20260729,000000,0.4999,0.4999,0.3801,0.3801,106701,0
LEGO-WS.US,D,20260804,000000,0.3801,0.4142,0.3801,0.4142,7000,0
LEGO-WS.US,D,20260813,000000,0.4001,0.4001,0.3701,0.3701,303,0
LEGO-WS.US,D,20260824,000000,0.38,0.38,0.38,0.38,35000,0
