<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TII.US,D,20251121,000000,2.46,2.86,2.3,2.47,259699,0
TII.US,D,20251124,000000,2.5001,2.52,2.35,2.35,103680,0
TII.US,D,20251125,000000,2.38,2.41,2.26,2.38,68033,0
TII.US,D,20251126,000000,2.41,2.69,2.4,2.69,97327,0
TII.US,D,20251128,000000,2.73,2.9,2.68,2.795,89380,0
TII.US,D,20251201,000000,2.91,3.04,2.7,2.725,128612,0
TII.US,D,20251202,000000,2.7297,2.76,2.437,2.51,53866,0
TII.US,D,20251203,000000,2.6199,2.71,2.5,2.53,49845,0
TII.US,D,20251204,000000,2.59,2.59,2.48,2.57,63276,0
TII.US,D,20251205,000000,2.62,2.62,2.4,2.45,48871,0
TII.US,D,20251208,000000,2.4807,2.4807,2.17,2.3,68925,0
TII.US,D,20251209,000000,2.506,2.506,2.21,2.32,77630,0
TII.US,D,20251210,000000,2.33,2.38,2.23,2.25,48621,0
TII.US,D,20251211,000000,2.32,2.48,2.26,2.465,47887,0
TII.US,D,20251212,000000,2.47,2.51,2.2501,2.34,55598,0
TII.US,D,20251215,000000,2.33,2.37,2.17,2.215,48932,0
TII.US,D,20251216,000000,2.31,2.31,2.09,2.24,69043,0
TII.US,D,20251217,000000,2.28,2.355,2.21,2.25,59019,0
TII.US,D,20251218,000000,2.35,2.5,2.24,2.44,36367,0
TII.US,D,20251219,000000,2.4774,2.5604,2.43,2.525,75063,0
TII.US,D,20251222,000000,2.52,2.74,2.52,2.56,63292,0
TII.US,D,20251223,000000,2.6,2.62,2.47,2.49,52490,0
TII.US,D,20251224,000000,2.49,2.6,2.35,2.44,16174,0
TII.US,D,20251226,000000,2.51,4.18,2.51,3.23,3145972,0
TII.US,D,20251229,000000,3.77,3.8,3,3.04,1609432,0
TII.US,D,20251230,000000,3.1,3.1494,2.85,2.99,325653,0
TII.US,D,20251231,000000,2.99,3.02,2.8,2.96,146679,0
TII.US,D,20260102,000000,2.99,3.04,2.82,2.96,127991,0
TII.US,D,20260105,000000,3.15,3.2,3,3.02,326128,0
TII.US,D,20260106,000000,3.165,3.25,2.91,3.12,242691,0
TII.US,D,20260107,000000,3.136,3.18,3,3.09,385975,0
TII.US,D,20260108,000000,3.04,3.07,2.82,2.94,125779,0
TII.US,D,20260109,000000,2.97,3.02,2.8,2.88,110890,0
TII.US,D,20260112,000000,2.94,2.965,2.88,2.92,208535,0
TII.US,D,20260113,000000,2.91,2.98,2.91,2.93,130369,0
TII.US,D,20260114,000000,2.96,3.32,2.96,3.19,245639,0
TII.US,D,20260115,000000,3.6,4.47,3.31,3.93,8844129,0
TII.US,D,20260116,000000,4.18,4.25,3.95,4.07,6832281,0
TII.US,D,20260120,000000,4.915,5.3,4.57,4.86,3592788,0
TII.US,D,20260121,000000,5.33,5.65,5.05,5.14,3157158,0
TII.US,D,20260122,000000,5.16,5.17,4.39,4.57,2490272,0
TII.US,D,20260123,000000,4.44,4.71,4.2601,4.65,1238310,0
TII.US,D,20260126,000000,4.79,5.22,4.67,4.93,1399918,0
TII.US,D,20260127,000000,4.96,5.0893,4.61,4.86,868835,0
TII.US,D,20260128,000000,4.9,4.98,4.6601,4.94,700392,0
TII.US,D,20260129,000000,4.75,4.915,4.34,4.62,871458,0
TII.US,D,20260130,000000,4.43,4.455,3.81,4.04,1146947,0
TII.US,D,20260202,000000,3.96,4.21,3.75,4,774001,0
TII.US,D,20260203,000000,4.11,4.45,4.07,4.42,603286,0
TII.US,D,20260204,000000,4.45,4.66,4.16,4.18,584064,0
TII.US,D,20260205,000000,4,4.075,3.62,3.64,497923,0
